Name	                                    Künstler	    Komponist	    Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
We're Only Gonna Die (Album Version)	    Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	23497365	132	    1	        1	                1	        28	                1989	01.01.18 14:12	01.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:01 We're Only Gonna Die (Album Version).aif
Latch Key Kids	Bad Religion	            Bad Religion	                How Could Hell Be Any Worse?						                                            Punk	17363327	98	    1	        1	                2	        28	                1989	01.01.18 14:12	01.01.18 13:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:02 Latch Key Kids.aif
Part III	Bad Religion	                Bad Religion	                How Could Hell Be Any Worse?						                                            Punk	19247273	108	    1	        1	                3	        28	                1989	01.01.18 14:12	01.01.18 13:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:03 Part III.aif
Faith In God (Album Version)	            Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	19597741	110	    1	        1	                4	        28	                1989	01.01.18 14:12	01.01.18 13:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:04 Faith In God (Album Version).aif
Fuck Armageddon...This Is Hell	            Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	29831295	168	    1	        1	                5	        28	                1989	01.01.18 14:12	01.01.18 13:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:05 Fuck Armageddon...This Is Hell.aif
Pity	                                    Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	21326437	120	    1	        1	                6	        28	                1989	01.01.18 14:12	01.01.18 13:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:06 Pity.aif
In The Night	                            Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	36252237	205	    1	        1	                7	        28	                1989	01.01.18 14:12	01.01.18 13:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:07 In The Night.aif
Damned To Be Free (Album Version)	        Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	20874882	118	    1	        1	                8	        28	                1989	01.01.18 14:12	01.01.18 13:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:08 Damned To Be Free (Album Version).aif
White Trash	                                Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	24948524	141	    1	        1	                9	        28	                1989	01.01.18 14:12	01.01.18 13:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:09 White Trash.aif
American Dream (Album Version)	            Bad Religion	Bad Religion	How Could Hell Be Any Worse?						                                            Punk	17965458	101	    1	        1	                10	        28	                1989	01.01.18 14:12	01.01.18 13:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:How Could Hell Be Any Worse_:10 American Dream (Album Version).aif
