Name	                        Künstler	    Komponist	            Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Change Of Ideas	                Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	10075412	55	    1	        1	                1	        15	                1989	01.01.18 13:45	01.01.18 13:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:01 Change Of Ideas.aif
Big Bang	                    Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	18312109	102	    1	        1	                2	        15	                1989	01.01.18 13:45	01.01.18 13:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:02 Big Bang.aif
No Control	                    Bad Religion	Brett Gurewitz      	No Control						                                            Punk	19184695	107	    1	        1	                3	        15	                1989	01.01.18 13:45	01.01.18 13:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:03 No Control.aif
Some Times I Feel Like	        Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	17018523	94	    1	        1	                4	        15	                1989	01.01.18 13:45	01.01.18 13:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:04 Some Times I Feel Like.aif
Automatic Man	                Bad Religion	Brett Gurewitz	        No Control						                                            Punk	18060442	100	    1	        1	                5	        15	                1989	01.01.18 13:45	01.01.18 13:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:05 Automatic Man.aif
I Want To Conquer The World	    Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	24594320	137	    1	        1	                6	        15	                1989	01.01.18 13:45	01.01.18 13:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:06 I Want To Conquer The World.aif
Sanity	                        Bad Religion	Brett Gurewitz	        No Control						                                            Punk	29460579	165	    1	        1	                7	        15	                1989	01.01.18 13:45	01.01.18 13:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:07 Sanity.aif
Henchman	                    Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	12234541	67	    1	        1	                8	        15	                1989	01.01.18 13:45	01.01.18 13:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:08 Henchman.aif
It Must Look Pretty Appealing	Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	14767666	82	    1	        1	                9	        15	                1989	01.01.18 13:45	01.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:09 It Must Look Pretty Appealing.aif
You	                            Bad Religion	Brett Gurewitz	        No Control						                                            Punk	22376355	125	    1	        1	                10	        15	                1989	01.01.18 13:45	01.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:10 You.aif
Progress	                    Bad Religion	Brett Gurewitz	        No Control						                                            Punk	24046280	134	    1	        1	                11	        15	                1989	01.01.18 13:45	01.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:11 Progress.aif
I Want Something More	        Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	8711261	    47	    1	        1	                12	        15	                1989	01.01.18 13:45	01.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:12 I Want Something More.aif
Anxiety	                        Bad Religion	Brett Gurewitz	        No Control						                                            Punk	22957303	128	    1	        1	                13	        15	                1989	01.01.18 13:45	01.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:13 Anxiety.aif
Billy	                        Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	20572381	114	    1	        1	                14	        15	                1989	01.01.18 13:45	01.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:14 Billy.aif
The World Won't Stop	        Bad Religion	Mr. Brett/Greg Graffin	No Control						                                            Punk	20965180	117	    1	        1	                15	        15	                1989	01.01.18 13:45	01.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:No Control:15 The World Won't Stop.aif
