Name	                                Künstler	    Komponist	            Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Modern Man	                            Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	20999210	118	    1	        1	                1	        17	                1990	01.01.18 13:22	01.01.18 12:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:01 Modern Man.aif
Turn On The Light	                    Bad Religion	Brett Gurewitz	        Against The Grain						                                            Punk	15079235	84	    1	        1	                2	        17	                1990	01.01.18 13:22	01.01.18 12:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:02 Turn On The Light.aif
Get Off	                                Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	18348503	103	    1	        1	                3	        17	                1990	01.01.18 13:22	01.01.18 12:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:03 Get Off.aif
Blenderhead	                            Bad Religion	Brett Gurewitz	        Against The Grain						                                            Punk	12938909	72	    1	        1	                4	        17	                1990	01.01.18 13:22	01.01.18 12:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:04 Blenderhead.aif
Positive Aspect Of Negative Thinking	Bad Religion	Jay Bently	            Against The Grain						                                            Punk	10335266	57	    1	        1	                5	        17	                1990	01.01.18 13:22	01.01.18 12:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:05 Positive Aspect Of Negative Thinking.aif
Anesthesia	                            Bad Religion	Brett Gurewitz	        Against The Grain						                                            Punk	32688652	184	    1	        1	                6	        17	                1990	01.01.18 13:22	01.01.18 12:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:06 Anesthesia.aif
Flat Earth Society	                    Bad Religion	Brett Gurewitz	        Against The Grain						                                            Punk	25439796	143	    1	        1	                7	        17	                1990	01.01.18 13:22	01.01.18 13:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:07 Flat Earth Society.aif
Faith Alone	                            Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	38959083	220	    1	        1	                8	        17	                1990	01.01.18 13:22	01.01.18 13:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:08 Faith Alone.aif
Entropy	                                Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	25663223	144	    1	        1	                9	        17	                1990	01.01.18 13:22	01.01.18 13:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:09 Entropy.aif
Against The Grain	                    Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	22958436	129	    1	        1	                10	        17	                1990	01.01.18 13:22	01.01.18 13:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:10 Against The Grain.aif
Operation Rescue	                    Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	22716179	128	    1	        1	                11	        17	                1990	01.01.18 13:22	01.01.18 13:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:11 Operation Rescue.aif
God Song	                            Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	17525307	98	    1	        1	                12	        17	                1990	01.01.18 13:22	01.01.18 13:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:12 God Song.aif
21st Century (Digital Boy)	            Bad Religion	Brett Gurewitz	        Against The Grain						                                            Punk	30221423	170	    1	        1	                13	        17	                1990	01.01.18 13:22	01.01.18 13:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:13 21st Century (Digital Boy).aif
Misery And Famine	                    Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	27561300	155	    1	        1	                14	        17	                1990	01.01.18 13:22	01.01.18 13:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:14 Misery And Famine.aif
Unacceptable	                        Bad Religion	Jay Bentley/Greg Hetson	Against The Grain						                                            Punk	18466122	104	    1	        1	                15	        17	                1990	01.01.18 13:22	01.01.18 13:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:15 Unacceptable.aif
Quality Or Quantity	                    Bad Religion	Greg Graffin	        Against The Grain						                                            Punk	16819718	94	    1	        1	                16	        17	                1990	01.01.18 13:22	01.01.18 13:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:16 Quality Or Quantity.aif
Walk Away	                            Bad Religion	Brett Gurewitz	        Against The Grain						                                            Punk	19966686	112	    1	        1	                17	        17	                1990	01.01.18 13:22	01.01.18 13:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Against The Grain:17 Walk Away.aif
