Name	                        Künstler	    Komponist	    Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
We're Only Gonna Die	        Bad Religion	Bad Religion	80-85						                                            Punk	24313638	137	    1	        1	                1	        28	                1982	01.01.18 12:51	01.01.18 12:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:01 We're Only Gonna Die.aif
Latch Key Kids	                Bad Religion	Bad Religion	80-85						                                            Punk	18421872	104	    1	        1	                2	        28	                1982	01.01.18 12:51	01.01.18 12:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:02 Latch Key Kids.aif
Part III	                    Bad Religion	Bad Religion	80-85						                                            Punk	20268186	114	    1	        1	                3	        28	                1982	01.01.18 12:51	01.01.18 12:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:03 Part III.aif
Faith In God	                Bad Religion	Bad Religion	80-85						                                            Punk	20244670	114	    1	        1	                4	        28	                1982	01.01.18 12:51	01.01.18 12:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:04 Faith In God.aif
Fuck Armageddon... This Is Hell	Bad Religion	Bad Religion	80-85						                                            Punk	30941585	174	    1	        1	                5	        28	                1982	01.01.18 12:51	01.01.18 12:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:05 Fuck Armageddon... This Is Hell.aif
Pitty	Bad Religion	        Bad Religion	                80-85						                                            Punk	22166247	125	    1	        1	                6	        28	                1982	01.01.18 12:51	01.01.18 12:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:06 Pitty.aif
Into The Night	                Bad Religion	Bad Religion	80-85						                                            Punk	36868608	208	    1	        1	                7	        28	                1982	01.01.18 12:51	01.01.18 12:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:07 Into The Night.aif
Damned To Be Free	            Bad Religion	Bad Religion	80-85						                                            Punk	21785235	123	    1	        1	                8	        28	                1982	01.01.18 12:51	01.01.18 12:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:08 Damned To Be Free.aif
White Trash (2nd Generation)	Bad Religion	Bad Religion	80-85						                                            Punk	25658990	145	    1	        1	                9	        28	                1982	01.01.18 12:51	01.01.18 12:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:09 White Trash (2nd Generation).aif
American Dream	                Bad Religion	Bad Religion	80-85						                                            Punk	17775075	100	    1	        1	                10	        28	                1982	01.01.18 12:51	01.01.18 12:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:80-85:10 American Dream.aif
