Name	                Künstler	    Komponist	    Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
The Gray Race	        Bad Religion	Greg Graffin	The Gray Race						                                            Punk	22367963	126	    1	        1	                1	        15	                1996	01.01.18 12:18	01.01.18 11:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:01 The Gray Race.aif
Them And Us	            Bad Religion	Greg Graffin	The Gray Race						                                            Punk	30127209	170	    1	        1	                2	        15	                1996	01.01.18 12:18	01.01.18 11:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:02 Them And Us.aif
A Walk	                Bad Religion	Greg Graffin	The Gray Race						                                            Punk	23701540	134	    1	        1	                3	        15	                1996	01.01.18 12:18	01.01.18 11:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:03 A Walk.aif
Parallel	            Bad Religion	Greg Graffin	The Gray Race						                                            Punk	35245158	199	    1	        1	                4	        15	                1996	01.01.18 12:18	01.01.18 11:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:04 Parallel.aif
Punk Rock Song	        Bad Religion	Graffin Greg	The Gray Race						                                            Punk	26022972	147	    1	        1	                5	        15	                1996	01.01.18 12:18	01.01.18 11:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:05 Punk Rock Song.aif
Empty Causes	        Bad Religion	Greg Graffin	The Gray Race						                                            Punk	30334186	171	    1	        1	                6	        15	                1996	01.01.18 12:18	01.01.18 11:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:06 Empty Causes.aif
Nobody Listens	        Bad Religion	Greg Graffin	The Gray Race						                                            Punk	20702748	117	    1	        1	                7	        15	                1996	01.01.18 12:18	01.01.18 11:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:07 Nobody Listens.aif
Pity The Dead	        Bad Religion	Greg Graffin	The Gray Race						                                            Punk	31169147	176	    1	        1	                8	        15	                1996	01.01.18 12:18	01.01.18 11:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:08 Pity The Dead.aif
Spirit Shine	        Bad Religion	Greg Graffin	The Gray Race						                                            Punk	23313466	131	    1	        1	                9	        15	                1996	01.01.18 12:18	01.01.18 11:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:09 Spirit Shine.aif
The Streets Of America	Bad Religion	Brian Baker	    The Gray Race						                                            Punk	40431334	228	    1	        1	                10	        15	                1996	01.01.18 12:18	01.01.18 11:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:10 The Streets Of America.aif
Ten In 2010	            Bad Religion	Greg Graffin	The Gray Race						                                            Punk	25129212	142	    1	        1	                11	        15	                1996	01.01.18 12:18	01.01.18 11:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:11 Ten In 2010.aif
Victory	                Bad Religion	Greg Graffin	The Gray Race						                                            Punk	27688184	156	    1	        1	                12	        15	                1996	01.01.18 12:18	01.01.18 11:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:12 Victory.aif
Drunk Sincerity	        Bad Religion	Greg Graffin	The Gray Race						                                            Punk	23532208	133	    1	        1	                13	        15	                1996	01.01.18 12:18	01.01.18 11:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:13 Drunk Sincerity.aif
Come Join Us	        Bad Religion	Greg Graffin	The Gray Race						                                            Punk	21871693	123	    1	        1	                14	        15	                1996	01.01.18 12:18	01.01.18 11:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:14 Come Join Us.aif
Cease	                Bad Religion	Greg Graffin	The Gray Race						                                            Punk	27507078	155	    1	        1	                15	        15	                1996	01.01.18 12:18	01.01.18 11:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Gray Race:15 Cease.aif
