Name	                Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Operation Rescue	    Bad Religion		    Tested [Live]						                                            Punk	23307980	131	    1	        1	                1	        27	                1996	01.01.18 11:44	01.01.18 11:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:01 Operation Rescue.aif
Punk Rock Song	        Bad Religion		    Tested [Live]						                                            Punk	25589418	144	    1	        1	                2	        27	                1996	01.01.18 11:44	01.01.18 11:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:02 Punk Rock Song.aif
Tomorrow	            Bad Religion		    Tested [Live]						                                            Punk	20278596	114	    1	        1	                3	        27	                1996	01.01.18 11:44	01.01.18 11:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:03 Tomorrow.aif
A Walk	                Bad Religion		    Tested [Live]						                                            Punk	26078626	147	    1	        1	                4	        27	                1996	01.01.18 11:44	01.01.18 11:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:04 A Walk.aif
God Song	            Bad Religion		    Tested [Live]						                                            Punk	19144932	108	    1	        1	                5	        27	                1996	01.01.18 11:44	01.01.18 11:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:05 God Song.aif
Pity The Dead	        Bad Religion		    Tested [Live]						                                            Punk	31669337	179	    1	        1	                6	        27	                1996	01.01.18 11:44	01.01.18 11:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:06 Pity The Dead.aif
One Thousand More Fools	Bad Religion		    Tested [Live]						                                            Punk	17604387	99	    1	        1	                7	        27	                1996	01.01.18 11:44	01.01.18 11:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:07 One Thousand More Fools.aif
Drunk Sincerity	        Bad Religion		    Tested [Live]						                                            Punk	24347563	137	    1	        1	                8	        27	                1996	01.01.18 11:44	01.01.18 11:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:08 Drunk Sincerity.aif
Generator	            Bad Religion		    Tested [Live]						                                            Punk	35909989	203	    1	        1	                9	        27	                1996	01.01.18 11:44	01.01.18 11:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:09 Generator.aif
Change Of Ideas	        Bad Religion		    Tested [Live]						                                            Punk	10642460	59	    1	        1	                10	        27	                1996	01.01.18 11:44	01.01.18 11:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:10 Change Of Ideas.aif
Portrait Of Authority	Bad Religion		    Tested [Live]						                                            Punk	30474530	172	    1	        1	                11	        27	                1996	01.01.18 11:44	01.01.18 11:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:11 Portrait Of Authority.aif
What It Is	            Bad Religion		    Tested [Live]						                                            Punk	24843831	140	    1	        1	                12	        27	                1996	01.01.18 11:44	01.01.18 11:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:12 What It Is.aif
Dream Of Unity	        Bad Religion		    Tested [Live]						                                            Punk	30081739	170	    1	        1	                13	        27	                1996	01.01.18 11:44	01.01.18 11:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:13 Dream Of Unity.aif
Sanity	                Bad Religion		    Tested [Live]						                                            Punk	28882211	163	    1	        1	                14	        27	                1996	01.01.18 11:44	01.01.18 11:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:14 Sanity.aif
American Jesus	        Bad Religion		    Tested [Live]						                                            Punk	34515259	195	    1	        1	                15	        27	                1996	01.01.18 11:44	01.01.18 11:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:15 American Jesus.aif
Do What You Want	    Bad Religion		    Tested [Live]						                                            Punk	13359021	75	    1	        1	                16	        27	                1996	01.01.18 11:44	01.01.18 11:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:16 Do What You Want.aif
Part III	            Bad Religion		    Tested [Live]						                                            Punk	30928453	174	    1	        1	                17	        27	                1996	01.01.18 11:44	01.01.18 11:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:17 Part III.aif
10 In 2010	            Bad Religion		    Tested [Live]						                                            Punk	25641159	144	    1	        1	                18	        27	                1996	01.01.18 11:44	01.01.18 11:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:18 10 In 2010.aif
No Direction	        Bad Religion		    Tested [Live]						                                            Punk	33151097	187	    1	        1	                19	        27	                1996	01.01.18 11:44	01.01.18 11:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:19 No Direction.aif
Along The Way	        Bad Religion		    Tested [Live]						                                            Punk	17493834	98	    1	        1	                20	        27	                1996	01.01.18 11:44	01.01.18 11:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:20 Along The Way.aif
Recipe For Hate	        Bad Religion		    Tested [Live]						                                            Punk	23954780	135	    1	        1	                21	        27	                1996	01.01.18 11:44	01.01.18 11:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:21 Recipe For Hate.aif
Fuck Armageddon	        Bad Religion		    Tested [Live]						                                            Punk	31916300	180	    1	        1	                22	        27	                1996	01.01.18 11:44	01.01.18 11:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:22 Fuck Armageddon.aif
It's Reciprocal	        Bad Religion		    Tested [Live]						                                            Punk	21948524	124	    1	        1	                23	        27	                1996	01.01.18 11:44	01.01.18 11:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:23 It's Reciprocal.aif
Struck A Nerve	        Bad Religion		    Tested [Live]						                                            Punk	38231419	216	    1	        1	                24	        27	                1996	01.01.18 11:44	01.01.18 11:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:24 Struck A Nerve.aif
Leave Mine To Me	    Bad Religion		    Tested [Live]						                                            Punk	23550237	133	    1	        1	                25	        27	                1996	01.01.18 11:44	01.01.18 11:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:25 Leave Mine To Me.aif
Tested	                Bad Religion		    Tested [Live]						                                            Punk	32786531	185	    1	        1	                26	        27	                1996	01.01.18 11:44	01.01.18 11:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:26 Tested.aif
No Control	            Bad Religion		    Tested [Live]						                                            Punk	21837975	123	    1	        1	                27	        27	                1996	01.01.18 11:44	01.01.18 11:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Tested [Live]:27 No Control.aif
