Name	                                        Künstler	                Komponist	                Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Hear It	                                        Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	19375495	109	    1	        1	                1	        16	                1998	01.01.18 11:30	01.01.18 11:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:01 Hear It.aif
Shades Of Truth	                                Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	42672063	241	    1	        1	                2	        16	                1998	01.01.18 11:30	01.01.18 11:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:02 Shades Of Truth.aif
All Fantastic Images	                        Bad Religion	            Brian Baker	                No Substance						                                    Punk	22767077	128	    1	        1	                3	        16	                1998	01.01.18 11:30	01.01.18 11:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:03 All Fantastic Images.aif
The Biggest Killer In American History	        Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	23797286	134	    1	        1	                4	        16	                1998	01.01.18 11:30	01.01.18 11:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:04 The Biggest Killer In American History.aif
No Substance	                                Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	32600796	184	    1	        1	                5	        16	                1998	01.01.18 11:30	01.01.18 11:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:05 No Substance.aif
Sowing The Seeds Of Utopia	                    Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	21398234	121	    1	        1	                7	        16	                1998	01.01.18 11:30	01.01.18 11:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:07 Sowing The Seeds Of Utopia.aif
The Hippy Killers	                            Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	32041025	181	    1	        1	                8	        16	                1998	01.01.18 11:30	01.01.18 11:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:08 The Hippy Killers.aif
The State Of The End Of The Millennium Address	Bad Religion	            Brian Baker	                No Substance						                                    Punk	25107343	142	    1	        1	                9	        16	                1998	01.01.18 11:30	01.01.18 11:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:09 The State Of The End Of The Millennium Address.aif
The Voracious March Of Godliness	            Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	26203379	148	    1	        1	                10	        16	                1998	01.01.18 11:30	01.01.18 11:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:10 The Voracious March Of Godliness.aif
Mediocre Minds	                                Bad Religion	            Gregg Hetson	            No Substance						                                    Punk	20610291	116	    1	        1	                11	        16	                1998	01.01.18 11:30	01.01.18 11:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:11 Mediocre Minds.aif
Victims Of The Revolution	                    Bad Religion	            Brian Baker	                No Substance						                                    Punk	34821085	197	    1	        1	                12	        16	                1998	01.01.18 11:30	01.01.18 11:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:12 Victims Of The Revolution.aif
Strange Denial	                                Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	32217425	182	    1	        1	                13	        16	                1998	01.01.18 11:30	01.01.18 11:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:13 Strange Denial.aif
At The Mercy Of Imbeciles	                    Bad Religion	            Gregg Hetson/Brian Baker	No Substance						                                    Punk	16647194	94	    1	        1	                14	        16	                1998	01.01.18 11:30	01.01.18 11:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:14 At The Mercy Of Imbeciles.aif
The Same Person	                                Bad Religion	            Jay Bentley/Brian Baker	    No Substance						                                    Punk	29943039	169	    1	        1	                15	        16	                1998	01.01.18 11:30	01.01.18 11:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:15 The Same Person.aif
In So Many Ways	                                Bad Religion	            Greg Graffin/Gregg Graffin	No Substance						                                    Punk	32593746	184	    1	        1	                16	        16	                1998	01.01.18 11:30	01.01.18 11:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:16 In So Many Ways.aif
Raise Your Voice	                            Bad Religion Feat. Campino	Greg Graffin/Gregg Graffin	No Substance						                                    Punk	31041438	175	    1	        1	                6	        16	                1998	01.01.18 11:30	01.01.18 11:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:No Substance:06 Raise Your Voice.aif
