Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Supersonic,Bad Religion,Brett Gurewitz/Greg Graffin,The Process Of Belief,,,,,,Punk,18847489,106,1,1,1,14,2002,"01.01.18, 11:03","01.01.18, 10:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:01 Supersonic.aif
Prove It,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,13245023,74,1,1,2,14,2002,"01.01.18, 11:03","01.01.18, 10:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:02 Prove It.aif
Can't Stop It,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,12346564,69,1,1,3,14,2002,"01.01.18, 11:03","01.01.18, 10:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:03 Can't Stop It.aif
Broken,Bad Religion,"Greg Graffin, Brett Gurewitz",The Process Of Belief,,,,,,Punk,30901486,174,1,1,4,14,2002,"01.01.18, 11:03","01.01.18, 10:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:04 Broken.aif
Destined For Nothing,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,27427595,155,1,1,5,14,2002,"01.01.18, 11:03","01.01.18, 10:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:05 Destined For Nothing.aif
Materialist,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,19995266,113,1,1,6,14,2002,"01.01.18, 11:03","01.01.18, 10:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:06 Materialist.aif
Kyoto Now!,Bad Religion,Brett Gurewitz/Greg Graffin,The Process Of Belief,,,,,,Punk,35283265,199,1,1,7,14,2002,"01.01.18, 11:03","01.01.18, 10:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:07 Kyoto Now!.aif
Sorrow,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,35525517,201,1,1,8,14,2002,"01.01.18, 11:03","01.01.18, 11:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:08 Sorrow.aif
Epiphany,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,42343967,239,1,1,9,14,2002,"01.01.18, 11:03","01.01.18, 11:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:09 Epiphany.aif
Evangeline,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,23083442,130,1,1,10,14,2002,"01.01.18, 11:03","01.01.18, 11:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:10 Evangeline.aif
The Defense,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,41198547,233,1,1,11,14,2002,"01.01.18, 11:03","01.01.18, 11:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:11 The Defense.aif
The Lie,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,24522863,138,1,1,12,14,2002,"01.01.18, 11:03","01.01.18, 11:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:12 The Lie.aif
You Don't Belong Here,Bad Religion,Greg Graffin/Brett Gurewitz,The Process Of Belief,,,,,,Punk,29995981,169,1,1,13,14,2002,"01.01.18, 11:03","01.01.18, 11:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:13 You Don't Belong Here.aif
Bored & Extremely Dangerous,Bad Religion,Brett Gurewitz/Greg Graffin,The Process Of Belief,,,,,,Punk,36266419,205,1,1,14,14,2002,"01.01.18, 11:03","01.01.18, 11:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Process Of Belief:14 Bored & Extremely Dangerous.aif
