Name	                                Künstler	    Komponist	                                                Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Overture	                            Bad Religion	Greg Graffin/Brett Gurewitz	                                The Empire Strikes First						                        Punk	12274906	69	    1	        1	                1	        14	                2004	01.01.18 10:52	01.01.18 10:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:01 Overture.aif
Sinister Rouge	                        Bad Religion	Brett Gurewitz	                                            The Empire Strikes First						                        Punk	20083539	113	    1	        1	                2	        14	                2004	01.01.18 10:52	01.01.18 10:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:02 Sinister Rouge.aif
Social Suicide	                        Bad Religion	Greg Graffin/Brett Gurewitz	                                The Empire Strikes First						                        Punk	16802512	95	    1	        1	                3	        14	                2004	01.01.18 10:52	01.01.18 10:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:03 Social Suicide.aif
Atheist Peace	                        Bad Religion	Brett Gurewitz/Greg Graffin	                                The Empire Strikes First						                        Punk	20789151	117	    1	        1	                4	        14	                2004	01.01.18 10:52	01.01.18 10:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:04 Atheist Peace.aif
All There Is	                        Bad Religion	Greg Graffin/Brett Gurewitz	                                The Empire Strikes First						                        Punk	31396670	177	    1	        1	                5	        14	                2004	01.01.18 10:52	01.01.18 10:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:05 All There Is.aif
Los Angeles Is Burning	                Bad Religion	Greg Graffin/Brett Gurewitz	                                The Empire Strikes First						                        Punk	35983080	203	    1	        1	                6	        14	                2004	01.01.18 10:52	01.01.18 10:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:06 Los Angeles Is Burning.aif
Let Them Eat War	                    Bad Religion		                                                        The Empire Strikes First						                        Punk	31389583	177	    1	        1	                7	        14	                2004	01.01.18 10:52	01.01.18 10:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:07 Let Them Eat War.aif
God's Love	                            Bad Religion	Greg Graffin/Brett Gurewitz	                                The Empire Strikes First						                        Punk	26939628	152	    1	        1	                8	        14	                2004	01.01.18 10:52	01.01.18 10:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:08 God's Love.aif
To Another Abyss	                    Bad Religion	Greg Graffin/Brett Gurewitz	                                The Empire Strikes First						                        Punk	43728210	247	    1	        1	                9	        14	                2004	01.01.18 10:52	01.01.18 10:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:09 To Another Abyss.aif
The Quickening	                        Bad Religion	Chris Wollard/Brooks Wackerman/Greg Graffin/Brett Gurewitz	The Empire Strikes First						                        Punk	24646464	139	    1	        1	                10	        14	                2004	01.01.18 10:52	01.01.18 10:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Empire Strikes First:10 The Quickening.aif
