Name	                    Künstler	    Komponist	    Album	                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	        Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
52 Seconds	                Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	10359506	58	    1	        1	                1	        24	                2007	01.01.18 10:40	01.01.18 10:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):01 52 Seconds.aif
Heroes & Martyrs	        Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	15242264	85	    1	        1	                2	        24	                2007	01.01.18 10:40	01.01.18 10:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):02 Heroes & Martyrs.aif
Germs Of Perfection	        Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	15529211	87	    1	        1	                3	        24	                2007	01.01.18 10:40	01.01.18 10:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):03 Germs Of Perfection.aif
New Dark Ages	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	29709413	167	    1	        1	                4	        24	                2007	01.01.18 10:40	01.01.18 10:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):04 New Dark Ages.aif
Requiem For Dissent	        Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	22714571	128	    1	        1	                5	        24	                2007	01.01.18 10:40	01.01.18 10:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):05 Requiem For Dissent.aif
Before You Die	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	27352710	154	    1	        1	                6	        24	                2007	01.01.18 10:40	01.01.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):06 Before You Die.aif
Honest Goodbye	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	30403254	171	    1	        1	                7	        24	                2007	01.01.18 10:40	01.01.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):07 Honest Goodbye.aif
Dearly Beloved	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	24734934	139	    1	        1	                8	        24	                2007	01.01.18 10:40	01.01.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):08 Dearly Beloved.aif
Grains Of Wrath	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	31960279	180	    1	        1	                9	        24	                2007	01.01.18 10:40	01.01.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):09 Grains Of Wrath.aif
Murder	                    Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	13941601	78	    1	        1	                10	        24	                2007	01.01.18 10:40	01.01.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):10 Murder.aif
Scrutiny	                Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	27771363	156	    1	        1	                11	        24	                2007	01.01.18 10:40	01.01.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):11 Scrutiny.aif
Prodigal Son	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	33235063	187	    1	        1	                12	        24	                2007	01.01.18 10:40	01.01.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):12 Prodigal Son.aif
The Grand Delusion	        Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	23130877	130	    1	        1	                13	        24	                2007	01.01.18 10:40	01.01.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):13 The Grand Delusion.aif
Lost Pilgrim	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	26247271	148	    1	        1	                14	        24	                2007	01.01.18 10:40	01.01.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):14 Lost Pilgrim.aif
Submission Complete	        Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	39016286	220	    1	        1	                15	        24	                2007	01.01.18 10:40	01.01.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):15 Submission Complete.aif
Fields Of Mars	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	38451801	217	    1	        1	                16	        24	                2007	01.01.18 10:40	01.01.18 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):16 Fields Of Mars.aif
Silent Track	            Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	796279	    4	    1	        1	                17	        24	                2008	01.01.18 10:40	01.01.18 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):17 Silent Track.aif
Won't Somebody (Acoustic)	Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	33218612	187	    1	        1	                18	        24	                2008	01.01.18 10:40	01.01.18 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):18 Won't Somebody (Acoustic).aif
Adam's Atoms (Acoustic)	    Bad Religion	Bad Religion	New Maps Of Hell (Deluxe Edition)						                                            Punk	27731394	156	    1	        1	                19	        24	                2008	01.01.18 10:40	01.01.18 10:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:New Maps Of Hell (Deluxe Edition):19 Adam's Atoms (Acoustic).aif
