Name	                    Künstler	    Komponist	                    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
The Day The Earth Stalled	Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	15417262	86	    1	        1	                1	        15	                2010	01.01.18 09:06	01.01.18 08:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:01 The Day The Earth Stalled.aif
Only Rain	                Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	28786014	162	    1	        1	                2	        15	                2010	01.01.18 09:06	01.01.18 08:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:02 Only Rain.aif
The Resist Stance	        Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	27174902	153	    1	        1	                3	        15	                2010	01.01.18 09:06	01.01.18 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:03 The Resist Stance.aif
Won't Somebody	            Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	28833059	162	    1	        1	                4	        15	                2010	01.01.18 09:06	01.01.18 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:04 Won't Somebody.aif
The Devil In Stitches	    Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	36886314	208	    1	        1	                5	        15	                2010	01.01.18 09:06	01.01.18 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:05 The Devil In Stitches.aif
Pride And The Pallor	    Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	31693097	179	    1	        1	                6	        15	                2010	01.01.18 09:06	01.01.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:06 Pride And The Pallor.aif
Wrong Way Kids	            Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	29496323	166	    1	        1	                7	        15	                2010	01.01.18 09:06	01.01.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:07 Wrong Way Kids.aif
Meeting Of The Minds	    Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	22501481	127	    1	        1	                8	        15	                2010	01.01.18 09:06	01.01.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:08 Meeting Of The Minds.aif
Someone To Believe	        Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	27967527	158	    1	        1	                9	        15	                2010	01.01.18 09:06	01.01.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:09 Someone To Believe.aif
Avalon	                    Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	36719308	207	    1	        1	                10	        15	                2010	01.01.18 09:06	01.01.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:10 Avalon.aif
Cyanide	                    Bad Religion	Greg Graffin; Brett Gurewitz	The Dissent Of Man						                                            Punk	41524445	234	    1	        1	                11	        15	                2010	01.01.18 09:06	01.01.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The Dissent Of Man:11 Cyanide.aif
