Name	                Künstler	    Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Egg Raid On Mojo	    Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    18000734	101	    1	        1	                1	        14	                1982	07.01.18 13:34	07.01.18 13:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:01 Egg Raid On Mojo.aif
Beastie Boys	        Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    10046266	56	    1	        1	                2	        14	                1982	07.01.18 13:34	07.01.18 13:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:02 Beastie Boys.aif
Transit Cop	            Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    13884729	78	    1	        1	                3	        14	                1982	07.01.18 13:34	07.01.18 13:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:03 Transit Cop.aif
Jimi	                Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    22368386	126	    1	        1	                4	        14	                1982	07.01.18 13:34	07.01.18 13:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:04 Jimi.aif
Holy Snappers	        Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    14625611	82	    1	        1	                5	        14	                1982	07.01.18 13:34	07.01.18 13:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:05 Holy Snappers.aif
Riot Fight	            Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    5448104	    30	    1	        1	                6	        14	                1982	07.01.18 13:34	07.01.18 13:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:06 Riot Fight.aif
Ode To...	            Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    16582471	93	    1	        1	                7	        14	                1982	07.01.18 13:34	07.01.18 13:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:07 Ode To....aif
Michelle's Farm	        Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    17542093	98	    1	        1	                8	        14	                1982	07.01.18 13:34	07.01.18 13:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:08 Michelle's Farm.aif
Egg Raid On Mojo	    Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    14249294	80	    1	        1	                9	        14	                1982	07.01.18 13:34	07.01.18 13:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:09 Egg Raid On Mojo.aif
Transit Cop [Demo]	    Beastie Boys	John Berry	Some Old Bullshit						                                            Rap	    14543297	81	    1	        1	                10	        14	                1982	07.01.18 13:34	07.01.18 13:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:10 Transit Cop [Demo].aif
Cooky Puss	            Beastie Boys	Ad-Rock	    Some Old Bullshit						                                            Rap	    35318502	199	    1	        1	                11	        14	                1983	07.01.18 13:34	07.01.18 13:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:11 Cooky Puss.aif
Bonus Batter	        Beastie Boys	Ad-Rock	    Some Old Bullshit						                                            Rap	    25037912	141	    1	        1	                12	        14	                1983	07.01.18 13:34	07.01.18 13:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:12 Bonus Batter.aif
Beastie Revolution	    Beastie Boys	Ad-Rock	    Some Old Bullshit						                                            Rap	    54750734	309	    1	        1	                13	        14	                1983	07.01.18 13:34	07.01.18 13:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:13 Beastie Revolution.aif
Cooky Puss [Censored]	Beastie Boys	Ad-Rock	    Some Old Bullshit						                                            Rap	    35506673	200	    1	        1	                14	        14	                1983	07.01.18 13:34	07.01.18 13:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Some Old Bullshit:14 Cooky Puss [Censored].aif
