Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Rhymin & Stealin,Beastie Boys,Adam Nathaniel Yauch/Michael Louis Diamond,Licensed To Ill,,,,,,Rap,43913894,248,1,1,1,13,1986,"07.01.18, 13:44","07.01.18, 13:38",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:01 Rhymin & Stealin.aif
The New Style,Beastie Boys,Adam Nathaniel Yauch/Michael Louis Diamond,Licensed To Ill,,,,,,Rap,48763715,275,1,1,2,13,1986,"07.01.18, 13:44","07.01.18, 13:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:02 The New Style.aif
She's Crafty,Beastie Boys,Adam Nathaniel Yauch,Licensed To Ill,,,,,,Rap,38111484,215,1,1,3,13,1986,"07.01.18, 13:44","07.01.18, 13:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:03 She's Crafty.aif
Posse In Effect,Beastie Boys,Michael Louis Diamond/Adam Nathaniel Yauch,Licensed To Ill,,,,,,Rap,25984597,146,1,1,4,13,1986,"07.01.18, 13:44","07.01.18, 13:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:04 Posse In Effect.aif
Slow Ride,Beastie Boys,Adam Nathaniel Yauch/Michael Louis Diamond,Licensed To Ill,,,,,,Rap,31342447,176,1,1,5,13,1986,"07.01.18, 13:44","07.01.18, 13:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:05 Slow Ride.aif
Girls,Beastie Boys,Horovitz/Adam Keefe Horovitz/D. McDaniels/J. Simmons/Rick Rubin,Licensed To Ill,,,,,,Rap,23787840,133,1,1,6,13,1986,"07.01.18, 13:44","07.01.18, 13:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:06 Girls.aif
(You Gotta) Fight For Your Right (To Party!),Beastie Boys,Adam Nathaniel Yauch,Licensed To Ill,,,,,,Rap,36752060,207,1,1,7,13,1986,"07.01.18, 13:44","07.01.18, 13:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:07 (You Gotta) Fight For Your Right (To Party!).aif
No Sleep Till Brooklyn,Beastie Boys,Adam Nathaniel Yauch/Michael Louis Diamond,Licensed To Ill,,,,,,Rap,43713980,246,1,1,8,13,1986,"07.01.18, 13:44","07.01.18, 13:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:08 No Sleep Till Brooklyn.aif
Paul Revere,Beastie Boys,Darryl McDaniels/Joseph Simmons,Licensed To Ill,,,,,,Rap,39115798,220,1,1,9,13,1986,"07.01.18, 13:44","07.01.18, 13:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:09 Paul Revere.aif
"Hold It Now, Hit It",Beastie Boys,Michael Louis Diamond/Adam Nathaniel Yauch,Licensed To Ill,,,,,,Rap,36533322,206,1,1,10,13,1986,"07.01.18, 13:44","07.01.18, 13:41",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:10 Hold It Now, Hit It.aif"
Brass Monkey,Beastie Boys,Michael Louis Diamond/Adam Nathaniel Yauch,Licensed To Ill,,,,,,Rap,27932051,157,1,1,11,13,1986,"07.01.18, 13:44","07.01.18, 13:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:11 Brass Monkey.aif
Slow And Low,Beastie Boys,Darryl McDaniels/Adam Nathaniel Yauch/Michael Louis Diamond/Joseph Simmons/Daniel Richard Hayden,Licensed To Ill,,,,,,Rap,38633705,218,1,1,12,13,1986,"07.01.18, 13:44","07.01.18, 13:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:12 Slow And Low.aif
Time To Get Ill,Beastie Boys,Adam Nathaniel Yauch/Michael Louis Diamond,Licensed To Ill,,,,,,Rap,38511350,217,1,1,13,13,1986,"07.01.18, 13:44","07.01.18, 13:42",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Licensed To Ill:13 Time To Get Ill.aif
