Name	                            Künstler	    Komponist	                                                                        Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art         	Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
To All The Girls	                Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    16004844	89	    1	        1	                1	        15	                1989	07.01.18 13:53	07.01.18 13:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:01 To All The Girls.aif
Shake Your Rump	                    Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    35408843	199	    1	        1	                2	        15	                1989	07.01.18 13:53	07.01.18 13:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:02 Shake Your Rump.aif
Johnny Ryall	                    Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    31967864	180	    1	        1	                3	        15	                1989	07.01.18 13:53	07.01.18 13:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:03 Johnny Ryall.aif
Egg Man	                            Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    31523331	177	    1	        1	                4	        15	                1989	07.01.18 13:53	07.01.18 13:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:04 Egg Man.aif
High Plains Drifter	                Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    44845071	253	    1	        1	                5	        15	                1989	07.01.18 13:53	07.01.18 13:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:05 High Plains Drifter.aif
The Sounds Of Science	            Beastie Boys	Paul McCartney/John Lennon	                                                        Paul's Boutique						                                            Rap	    34056395	191	    1	        1	                6	        15	                1989	07.01.18 13:53	07.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:06 The Sounds Of Science.aif
3-Minute Rule	                    Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    38885097	219	    1	        1	                7	        15	                1989	07.01.18 13:53	07.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:07 3-Minute Rule.aif
Hey Ladies	                        Beastie Boys	Ronald A. Ford/Linda Shider/Barberella Bishop/Gary Marshall Shider	                Paul's Boutique						                                            Rap	    40317448	227	    1	        1	                8	        15	                1989	07.01.18 13:53	07.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:08 Hey Ladies.aif
5-Piece Chicken Dinner	            Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    4310706	    23	    1	        1	                9	        15	                1989	07.01.18 13:53	07.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:09 5-Piece Chicken Dinner.aif
Looking Down The Barrel Of A Gun	Beastie Boys	Ad-Rock/Adam yauch/John King/Matt Dike/Michael Diamond/Mike Simpson/Beastie Boys	Paul's Boutique						                                            Rap	    36937661	208	    1	        1	                10	        15	                1989	07.01.18 13:53	07.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Paul's Boutique:10 Looking Down The Barrel Of A Gun.aif
