Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Jimmy James,Beastie Boys,"Ad-Rock/Adam yauch/Michael Diamond/Ed Chalpin/Mario Caldato, Jr.",Check Your Head,,,,,,Rap,34961379,194,1,1,1,20,1992,"07.01.18, 14:02","07.01.18, 13:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:01 Jimmy James.aif
Funky Boss,Beastie Boys,Adam yauch/Michael Diamond/Mark Nishita/Ad-Rock,Check Your Head,,,,,,Rap,17509521,95,1,1,2,20,1992,"07.01.18, 14:02","07.01.18, 13:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:02 Funky Boss.aif
Pass The Mic,Beastie Boys,"Adam yauch/Michael Diamond/Ad-Rock/Mario Caldato, Jr.",Check Your Head,,,,,,Rap,45938153,257,1,1,3,20,1992,"07.01.18, 14:02","07.01.18, 13:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:03 Pass The Mic.aif
Gratitude,Beastie Boys,Michael Diamond/Tom Cushman/Ad-Rock/Adam yauch,Check Your Head,,,,,,Rap,29822239,165,1,1,4,20,1992,"07.01.18, 14:02","07.01.18, 13:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:04 Gratitude.aif
Lighten Up,Beastie Boys,Michael Diamond/Ad-Rock/Adam yauch/Mark Nishita,Check Your Head,,,,,,Rap,29088417,161,1,1,5,20,1992,"07.01.18, 14:02","07.01.18, 13:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:05 Lighten Up.aif
Finger Lickin' Good,Beastie Boys,"Wendell Fite/Michael Diamond/Ad-Rock/Steve Hill/Mario Caldato, Jr./Adam yauch",Check Your Head,,,,,,Rap,39394920,219,1,1,6,20,1992,"07.01.18, 14:02","07.01.18, 13:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:06 Finger Lickin' Good.aif
So What'cha Want,Beastie Boys,Ad-Rock/Adam yauch/Michael Diamond,Check Your Head,,,,,,Rap,38889194,217,1,1,7,20,1992,"07.01.18, 14:02","07.01.18, 13:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:07 So What'cha Want.aif
The Biz Vs. The Nuge,Beastie Boys,Dr. Marcell Hall/Ted Nugent,Check Your Head,,,,,,Rap,6525671,33,1,1,8,20,1992,"07.01.18, 14:02","07.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:08 The Biz Vs. The Nuge.aif
Time For Livin',Beastie Boys,Noah Evans/Miles Kelly/Sylvester Stewart,Check Your Head,,,,,,Rap,19783903,108,1,1,9,20,1992,"07.01.18, 14:02","07.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:09 Time For Livin'.aif
Something's Got To Give,Beastie Boys,"Adam yauch/Mark Nishita/Mario Caldato, Jr./Ad-Rock/Michael Diamond",Check Your Head,,,,,,Rap,37301634,208,1,1,10,20,1992,"07.01.18, 14:02","07.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:10 Something's Got To Give.aif
The Blue Nun,Beastie Boys,Michael Diamond/Adam yauch/Ad-Rock,Check Your Head,,,,,,Rap,6274007,32,1,1,11,20,1992,"07.01.18, 14:02","07.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:11 The Blue Nun.aif
Stand Together,Beastie Boys,"Adam yauch/Michael Diamond/Mario Caldato, Jr./Ad-Rock",Check Your Head,,,,,,Rap,30132716,167,1,1,12,20,1992,"07.01.18, 14:02","07.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:12 Stand Together.aif
Pow,Beastie Boys,Mark Nishita/Adam yauch/Ad-Rock/Michael Diamond,Check Your Head,,,,,,Rap,24224475,133,1,1,13,20,1992,"07.01.18, 14:02","07.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:13 Pow.aif
The Maestro,Beastie Boys,Adam yauch/Michael Diamond/Ad-Rock,Check Your Head,,,,,,Rap,30970006,172,1,1,14,20,1992,"07.01.18, 14:02","07.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:14 The Maestro.aif
Groove Holmes,Beastie Boys,Michael Diamond/Ad-Rock/Adam yauch/Mark Nishita,Check Your Head,,,,,,Rap,27646645,153,1,1,15,20,1992,"07.01.18, 14:02","07.01.18, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:15 Groove Holmes.aif
Live At P.J.'s,Beastie Boys,Adam yauch/Ad-Rock/Michael Diamond/Mark Nishita,Check Your Head,,,,,,Rap,35549366,198,1,1,16,20,1992,"07.01.18, 14:02","07.01.18, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:16 Live At P.J.'s.aif
Mark On The Bus,Beastie Boys,Mark Nishita,Check Your Head,,,,,,Rap,12163396,65,1,1,17,20,1992,"07.01.18, 14:02","07.01.18, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:17 Mark On The Bus.aif
Professor Booty,Beastie Boys,"Ad-Rock/Mario Caldato, Jr./Adam yauch/Michael Diamond",Check Your Head,,,,,,Rap,45281949,253,1,1,18,20,1992,"07.01.18, 14:02","07.01.18, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:18 Professor Booty.aif
In 3's,Beastie Boys,Ad-Rock/Adam yauch/Michael Diamond/Mark Nishita,Check Your Head,,,,,,Rap,25863822,143,1,1,19,20,1992,"07.01.18, 14:02","07.01.18, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:19 In 3's.aif
Namasté,Beastie Boys,Michael Diamond/Mark Nishita/Ad-Rock/Adam yauch,Check Your Head,,,,,,Rap,43134569,241,1,1,20,20,1992,"07.01.18, 14:02","07.01.18, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Check Your Head:20 Namasté.aif
