Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Sure Shot,Beastie Boys,"Jeremy Steig/Wendell Fite/Mario Caldato, Jr.",Ill Communication,,,,,,Rap,35741243,199,1,1,1,20,1994,"07.01.18, 14:55","07.01.18, 14:08",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:01 Sure Shot.aif
Tough Guy,Beastie Boys,Amery Smith,Ill Communication,,,,,,Rap,10685354,57,1,1,2,20,1994,"07.01.18, 14:55","07.01.18, 14:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:02 Tough Guy.aif
B-Boys Makin' With The Freak Freak,Beastie Boys,Ad-Rock/Adam yauch/Michael Diamond,Ill Communication,,,,,,Rap,41720042,233,1,1,3,20,1994,"07.01.18, 14:55","07.01.18, 14:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:03 B-Boys Makin' With The Freak Freak.aif
Bobo On The Corner,Beastie Boys,Eric Bobo/Mark Nishita,Ill Communication,,,,,,Rap,13425454,73,1,1,4,20,1994,"07.01.18, 14:55","07.01.18, 14:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:04 Bobo On The Corner.aif
Root Down,Beastie Boys,Ad-Rock/Adam yauch/Michael Diamond,Ill Communication,,,,,,Rap,37945057,212,1,1,5,20,1994,"07.01.18, 14:55","07.01.18, 14:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:05 Root Down.aif
Sabotage,Beastie Boys,Ad-Rock/Adam yauch/Michael Diamond,Ill Communication,,,,,,Rap,31987440,178,1,1,6,20,1994,"07.01.18, 14:55","07.01.18, 14:11",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:06 Sabotage.aif
Get It Together,Beastie Boys,Jonathan Davis,Ill Communication,,,,,,Rap,43855619,245,1,1,7,20,1994,"07.01.18, 14:55","07.01.18, 14:11",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:07 Get It Together.aif
Sabrosa,Beastie Boys,Eric Bobo/Mark Nishita,Ill Communication,,,,,,Rap,37467587,209,1,1,8,20,1994,"07.01.18, 14:55","07.01.18, 14:12",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:08 Sabrosa.aif
The Update,Beastie Boys,"Mario Caldato, Jr./Mark Nishita",Ill Communication,,,,,,Rap,35028575,195,1,1,9,20,1994,"07.01.18, 14:55","07.01.18, 14:12",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:09 The Update.aif
Futterman's Rule,Beastie Boys,Eric Bobo/Mark Nishita,Ill Communication,,,,,,Rap,39727869,222,1,1,10,20,1994,"07.01.18, 14:55","07.01.18, 14:13",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Ill Communication:10 Futterman's Rule.aif
