Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Root Down (Free Zone Mix),Beastie Boys,Beastie Boys,Root Down [EP],,,,,,Rap,40263030,227,1,1,1,10,1995,"07.01.18, 15:06","07.01.18, 15:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:01 Root Down (Free Zone Mix).aif
Root Down,Beastie Boys,Beastie Boys,Root Down [EP],,,,,,Rap,37351238,211,1,1,2,10,1994,"07.01.18, 15:06","07.01.18, 15:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:02 Root Down.aif
Root Down (Pp Balloon Mix),Beastie Boys,Beastie Boys,Root Down [EP],,,,,,Rap,37224247,210,1,1,3,10,1995,"07.01.18, 15:06","07.01.18, 15:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:03 Root Down (Pp Balloon Mix).aif
Time To Get Ill,Beastie Boys,Beastie Boys And Rick Rubin,Root Down [EP],,,,,,Rap,21117755,119,1,1,4,10,1995,"07.01.18, 15:06","07.01.18, 15:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:04 Time To Get Ill.aif
Heart Attack Man,Beastie Boys,"Beastie Boys, A. Smith",Root Down [EP],,,,,,Rap,22752391,128,1,1,5,10,1995,"07.01.18, 15:06","07.01.18, 15:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:05 Heart Attack Man.aif
The Maestro,Beastie Boys,Beastie Boys,Root Down [EP],,,,,,Rap,34453576,194,1,1,6,10,1995,"07.01.18, 15:06","07.01.18, 15:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:06 The Maestro.aif
Sabrosa,Beastie Boys,"Beastie Boys, E. Bobo, M. Nishita",Root Down [EP],,,,,,Rap,30608073,173,1,1,7,10,1995,"07.01.18, 15:06","07.01.18, 15:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:07 Sabrosa.aif
Flute Loop,Beastie Boys,"Beastie Boys, M. Caldato Jr, A. Kooper",Root Down [EP],,,,,,Rap,17653265,99,1,1,8,10,1995,"07.01.18, 15:06","07.01.18, 15:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:08 Flute Loop.aif
Time For Livin',Beastie Boys,Frontline,Root Down [EP],,,,,,Rap,21023657,118,1,1,9,10,1995,"07.01.18, 15:06","07.01.18, 15:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:09 Time For Livin'.aif
Something's Got To Give,Beastie Boys,"Beastie Boys, M. Caldato Jr, M. Mishita",Root Down [EP],,,,,,Rap,52594594,297,1,1,10,10,1995,"07.01.18, 15:06","07.01.18, 15:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:Root Down [EP]:10 Something's Got To Give.aif
