Name	                Künstler	    Komponist	                                                                        Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Ch-Check It Out	        Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    34043573	192	    1	        1	                1	        15	                2004	07.01.18 15:17	07.01.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:01 Ch-Check It Out.aif
Right Right Now Now	    Beastie Boys	Beastie Boys • Tony Romeo	                                                        To The 5 Boroughs						                                            Rap	    29525426	166	    1	        1	                2	        15	                2004	07.01.18 15:17	07.01.18 15:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:02 Right Right Now Now.aif
3 The Hard Way	        Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    29786452	168	    1	        1	                3	        15	                2004	07.01.18 15:17	07.01.18 15:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:03 3 The Hard Way.aif
Time To Build	        Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    33888339	191	    1	        1	                4	        15	                2004	07.01.18 15:17	07.01.18 15:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:04 Time To Build.aif
Rhyme The Rhyme Well	Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    29621818	167	    1	        1	                5	        15	                2004	07.01.18 15:17	07.01.18 15:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:05 Rhyme The Rhyme Well.aif
Triple Trouble	        Beastie Boys	Beastie Boys • Bernard Edwards • Nile Rodgers	                                    To The 5 Boroughs						                                            Rap	    28883365	163	    1	        1	                6	        15	                2004	07.01.18 15:17	07.01.18 15:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:06 Triple Trouble.aif
Hey Fuck You	        Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    25129490	141	    1	        1	                7	        15	                2004	07.01.18 15:17	07.01.18 15:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:07 Hey Fuck You.aif
Oh Word?	            Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    31790350	179	    1	        1	                8	        15	                2004	07.01.18 15:17	07.01.18 15:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:08 Oh Word_.aif
That's It That's All	Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    26319610	148	    1	        1	                9	        15	                2004	07.01.18 15:17	07.01.18 15:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:09 That's It That's All.aif
All Lifestyles	        Beastie Boys	Beastie Boys	                                                                    To The 5 Boroughs						                                            Rap	    27194549	153	    1	        1	                10	        15	                2004	07.01.18 15:17	07.01.18 15:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:10 All Lifestyles.aif
Shazam!	                Beastie Boys	Beastie Boys • R. Bell • R. Bell • G. Brown • C. Smith • D. Thomas	                To The 5 Boroughs						                                            Rap	    25952809	146	    1	        1	                11	        15	                2004	07.01.18 15:17	07.01.18 15:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:11 Shazam!.aif
An Open Letter To NYC	Beastie Boys	Beastie Boys • S. Bators • J. Blitz • C. Chrome • J. Magnum • D. Thomas • J. Zero	To The 5 Boroughs						                                            Rap	    45721413	258	    1	        1	                12	        15	                2004	07.01.18 15:17	07.01.18 15:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Beastie Boys:To The 5 Boroughs:12 An Open Letter To NYC.aif
