Name	                                            Künstler	        Komponist	                                                                                        Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Kiss Me Where It Smells Funny	                    The Bloodhound Gang	Matthew Stigliano/A. James & M. Franks	                                                            One Fierce Beer Coaster						                                            Alternative	32690130	184	    1	        1	                1	        12	                1996	03.03.18 10:45	03.03.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:01 Kiss Me Where It Smells Funny.aif
Lift Your Head Up High (And Blow Your Brains Out)	The Bloodhound Gang	Jimmy Pop Ali	                                                                                    One Fierce Beer Coaster						                                            Alternative	52698589	298	    1	        1	                2	        12	                1996	03.03.18 10:45	03.03.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:02 Lift Your Head Up High (And Blow Your Brains Out).aif
Fire Water Burn	                                    The Bloodhound Gang	Celite Evans/Charles Pettiford/A. James & M. Franks/Jerry Bloodrock/Gregory Wigfall/Richard Fowler	One Fierce Beer Coaster						                                            Alternative	51564976	291	    1	        1	                3	        12	                1996	03.03.18 10:45	03.03.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:03 Fire Water Burn.aif
I Wish I Was Queer So I Could Get Chicks	        The Bloodhound Gang	A. James & M. Franks	                                                                            One Fierce Beer Coaster						                                            Alternative	40482299	228	    1	        1	                4	        12	                1996	03.03.18 10:45	03.03.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:04 I Wish I Was Queer So I Could Get Chicks.aif
Why's Everybody Always Pickin' On Me?	            The Bloodhound Gang	Harry Middlebrooks/Buddy Buie/Michael Shapiro/J.R. Cobb/James R. Cobb	                            One Fierce Beer Coaster						                                            Alternative	35740713	202	    1	        1	                5	        12	                1996	03.03.18 10:45	03.03.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:05 Why's Everybody Always Pickin' On Me_.aif
It's Tricky	                                        The Bloodhound Gang	Darryl McDanniels/L. Smith/Joseph Simmons	                                                        One Fierce Beer Coaster						                                            Alternative	27652131	156	    1	        1	                6	        12	                1996	03.03.18 10:45	03.03.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:06 It's Tricky.aif
Asleep At The Wheel	                                The Bloodhound Gang	Jimmy Pop Ali	                                                                                    One Fierce Beer Coaster						                                            Alternative	43478719	245	    1	        1	                7	        12	                1996	03.03.18 10:45	03.03.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:07 Asleep At The Wheel.aif
Shut Up	                                            The Bloodhound Gang	Jimmy Pop Ali	                                                                                    One Fierce Beer Coaster						                                            Alternative	34442323	194	    1	        1	                8	        12	                1996	03.03.18 10:45	03.03.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:08 Shut Up.aif
Your Only Friends Are Make Believe	                The Bloodhound Gang	Nick Rhodes/Andy Taylor/Simon Bon/Roger Andrew Taylor/A. James & M. Franks/John Nigel Taylor	    One Fierce Beer Coaster						                                            Alternative	74586365	422	    1	        1	                9	        12	                1996	03.03.18 10:45	03.03.18 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:09 Your Only Friends Are Make Believe.aif
Boom	                                            The Bloodhound Gang	Jimmy Pop Ali	                                                                                    One Fierce Beer Coaster						                                            Alternative	43426961	245	    1	        1	                10	        12	                1996	03.03.18 10:45	03.03.18 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Bloodhound Gang:One Fierce Beer Coaster:10 Boom.aif
