Name	                    Künstler	    Komponist	                    Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Smoked Pork	                Body Count		                                Body Count						                                            Metal	8266471	    46	    1	        1	                1	        17	                1992	03.03.18 10:54	03.03.18 10:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:01 Smoked Pork.aif
Body Count's In The House	Body Count	    Tracy Morrow/Ernest Cunnigan	Body Count						                                            Metal	36078921	204	    1	        1	                2	        17	                1992	03.03.18 10:54	03.03.18 10:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:02 Body Count's In The House.aif
Now Sports	                Body Count		                                Body Count						                                            Metal	904710	    4	    1	        1	                3	        17	                1992	03.03.18 10:54	03.03.18 10:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:03 Now Sports.aif
Body Count	                Body Count		                                Body Count						                                            Metal	56129670	317	    1	        1	                4	        17	                1992	03.03.18 10:54	03.03.18 10:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:04 Body Count.aif
A Statistic	                Body Count		                                Body Count						                                            Metal	1168135	    6	    1	        1	                5	        17	                1992	03.03.18 10:54	03.03.18 10:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:05 A Statistic.aif
Bowels Of The Devil	        Body Count		                                Body Count						                                            Metal	39425775	223	    1	        1	                6	        17	                1992	03.03.18 10:54	03.03.18 10:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:06 Bowels Of The Devil.aif
The Real Problem	        Body Count		                                Body Count						                                            Metal	2097180	    11	    1	        1	                7	        17	                1992	03.03.18 10:54	03.03.18 10:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:07 The Real Problem.aif
KKK Bitch	                Body Count		                                Body Count						                                            Metal	30563429	172	    1	        1	                8	        17	                1992	03.03.18 10:54	03.03.18 10:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:08 KKK Bitch.aif
C Note	                    Body Count		                                Body Count						                                            Metal	16921826	95	    1	        1	                9	        17	                1992	03.03.18 10:54	03.03.18 10:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:09 C Note.aif
Voodoo	                    Body Count		                                Body Count						                                            Metal	53107349	300	    1	        1	                10	        17	                1992	03.03.18 10:54	03.03.18 10:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:10 Voodoo.aif
The Winner Loses	        Body Count		                                Body Count						                                            Metal	69225615	392	    1	        1	                11	        17	                1992	03.03.18 10:54	03.03.18 10:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:11 The Winner Loses.aif
There Goes The Neighborhood	Body Count	    Tracy Morrow/Ernest Cunnigan	Body Count						                                            Metal	61838030	350	    1	        1	                12	        17	                1992	03.03.18 10:54	03.03.18 10:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:12 There Goes The Neighborhood.aif
Oprah	                    Body Count		                                Body Count						                                            Metal	1210468	    6	    1	        1	                13	        17	                1992	03.03.18 10:54	03.03.18 10:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:13 Oprah.aif
Evil Dick	                Body Count		                                Body Count						                                            Metal	42212888	238	    1	        1	                14	        17	                1992	03.03.18 10:54	03.03.18 10:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:14 Evil Dick.aif
Body Count Anthem	        Body Count	    Tracy Morrow/Ernest Cunnigan	Body Count						                                            Metal	29410996	166	    1	        1	                15	        17	                1992	03.03.18 10:54	03.03.18 10:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:15 Body Count Anthem.aif
Momma's Gotta Die Tonight	Body Count		                                Body Count						                                            Metal	65561208	371	    1	        1	                16	        17	                1992	03.03.18 10:54	03.03.18 10:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:16 Momma's Gotta Die Tonight.aif
Freedom Of Speech	        Body Count		                                Body Count						                                            Metal	49725184	281	    1	        1	                17	        17	                1992	03.03.18 10:54	03.03.18 10:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Body Count:17 Freedom Of Speech.aif
