Name	                    Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Invincible Gangsta	        Body Count		        Murder 4 Hire						                                            Metal	42499599	239	    1	        1	                1	        12	                2006	03.03.18 11:08	03.03.18 10:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:01 Invincible Gangsta.aif
The End Game	            Body Count		        Murder 4 Hire						                                            Metal	44969193	253	    1	        1	                2	        12	                2006	03.03.18 11:08	03.03.18 11:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:02 The End Game.aif
You Don't Know Me (Pain)	Body Count		        Murder 4 Hire						                                            Metal	44792805	252	    1	        1	                3	        12	                2006	03.03.18 11:08	03.03.18 11:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:03 You Don't Know Me (Pain).aif
The Passion Of Christ	    Body Count		        Murder 4 Hire						                                            Metal	34032402	191	    1	        1	                4	        12	                2006	03.03.18 11:08	03.03.18 11:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:04 The Passion Of Christ.aif
In My Head  	            Body Count		        Murder 4 Hire						                                            Metal	43381591	244	    1	        1	                5	        12	                2006	03.03.18 11:08	03.03.18 11:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:05 In My Head.aif
D Rocs (Rip)	            Body Count		        Murder 4 Hire						                                            Metal	27152793	152	    1	        1	                6	        12	                2006	03.03.18 11:08	03.03.18 11:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:06 D Rocs (Rip).aif
Murder 4 Hire	            Body Count		        Murder 4 Hire						                                            Metal	36678394	206	    1	        1	                7	        12	                2006	03.03.18 11:08	03.03.18 11:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:07 Murder 4 Hire.aif
Down In The Bayou	        Body Count		        Murder 4 Hire						                                            Metal	38089598	214	    1	        1	                8	        12	                2006	03.03.18 11:08	03.03.18 11:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:08 Down In The Bayou.aif
Dirty Bombs	                Body Count		        Murder 4 Hire						                                            Metal	40029992	225	    1	        1	                9	        12	                2006	03.03.18 11:08	03.03.18 11:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:09 Dirty Bombs.aif
Lies	                    Body Count		        Murder 4 Hire						                                            Metal	46909586	264	    1	        1	                10	        12	                2006	03.03.18 11:08	03.03.18 11:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:10 Lies.aif
Relationships	            Body Count		        Murder 4 Hire						                                            Metal	47967995	270	    1	        1	                11	        12	                2006	03.03.18 11:08	03.03.18 11:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:11 Relationships.aif
Mr. C's Theme	            Body Count		        Murder 4 Hire						                                            Metal	32621195	183	    1	        1	                12	        12	                2006	03.03.18 11:08	03.03.18 11:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Body Count:Murder 4 Hire:12 Mr. C's Theme.aif
