Name	    Künstler	        Komponist	        Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Titel 01	Chase and Status	Chase and Status	No more Idols						                                            Electronica	41763152	234			                            1	        15	                2011	10.01.18 18:39	10.01.18 18:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:01 Titel 01.aif
Titel 02	Chase and Status	Chase and Status	No more Idols						                                            Electronica	42661616	239			                            2	        15	                2011	10.01.18 18:39	10.01.18 18:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:02 Titel 02.aif
Titel 03	Chase and Status	Chase and Status	No more Idols						                                            Electronica	53210336	299			                            3	        15	                2011	10.01.18 18:39	10.01.18 18:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:03 Titel 03.aif
Titel 04	Chase and Status	Chase and Status	No more Idols						                                            Electronica	35930192	201			                            4	        15	                2011	10.01.18 18:39	10.01.18 18:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:04 Titel 04.aif
Titel 05	Chase and Status	Chase and Status	No more Idols						                                            Electronica	45601616	256			                            5	        15	                2011	10.01.18 18:39	10.01.18 18:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:05 Titel 05.aif
Titel 06	Chase and Status	Chase and Status	No more Idols						                                            Electronica	44717264	251			                            6	        15	                2011	10.01.18 18:39	10.01.18 18:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:06 Titel 06.aif
Titel 07	Chase and Status	Chase and Status	No more Idols						                                            Electronica	48915584	275			                            7	        15	                2011	10.01.18 18:39	10.01.18 18:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:07 Titel 07.aif
Titel 08	Chase and Status	Chase and Status	No more Idols						                                            Electronica	38265728	214			                            8	        15	                2011	10.01.18 18:39	10.01.18 18:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:08 Titel 08.aif
Titel 09	Chase and Status	Chase and Status	No more Idols						                                            Electronica	33749888	189			                            9	        15	                2011	10.01.18 18:39	10.01.18 18:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:09 Titel 09.aif
Titel 10	Chase and Status	Chase and Status	No more Idols						                                            Electronica	42828611	240			                            10	        15	                2011	10.01.18 18:39	10.01.18 18:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:10 Titel 10.aif
Titel 11	Chase and Status	Chase and Status	No more Idols						                                            Electronica	37491923	210			                            11	        15	                2011	10.01.18 18:39	10.01.18 18:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:11 Titel 11.aif
Titel 12	Chase and Status	Chase and Status	No more Idols						                                            Electronica	41984243	235			                            12	        15	                2011	10.01.18 18:39	10.01.18 18:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:12 Titel 12.aif
Titel 13	Chase and Status	Chase and Status	No more Idols						                                            Electronica	40253171	226			                            13	        15	                2011	10.01.18 18:39	10.01.18 18:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:13 Titel 13.aif
Titel 14	Chase and Status	Chase and Status	No more Idols						                                            Electronica	44764307	251			                            14	        15	                2011	10.01.18 18:39	10.01.18 18:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:14 Titel 14.aif
Titel 15	Chase and Status	Chase and Status	No more Idols						                                            Electronica	46304867	260			                            15	        15	                2011	10.01.18 18:39	10.01.18 18:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Chase and Status:No more Idols:15 Titel 15.aif
