Name	                                    ,Künstler	    ,Komponist	,Album	                                ,Gruppierung	Werk	,Nummer für Satz	,Satzzähler	,Name für Satz	,Genre	    ,Größe	   ,Dauer	,Disc-Nummer	,Anzahl der Discs	,Titelnummer	,Anzahl der Titel	,Jahr	,Geändert	    ,Hinzugefügt	,Datenrate	,Abtastrate	,Lautstärkeanpassung	,Art	            ,Equalizer	,Kommentar	,Wiedergaben	,Zuletzt gespielt	,Übersprungen	,Zuletzt übersprungen	,Meine Wertung	,Ort
Pigs	                                    ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,30551560 ,170	    ,1	            ,5	                ,1	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:13	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-01 Pigs.aif
How I Could Just Kill a Man	                ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,44289615 ,248	    ,1	            ,5	                ,2	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:13	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-02 How I Could Just Kill a Man.aif
Hand On the Pump	                        ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,43393492 ,243	    ,1	            ,5	                ,3	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:13	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-03 Hand On the Pump.aif
Hole In the Head	                        ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,38056804 ,213	    ,1	            ,5	                ,4	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:14	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-04 Hole In the Head.aif
Ultraviolet Dreams	                        ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,7784214  ,41	    ,1	            ,5	                ,5	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:14	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-05 Ultraviolet Dreams.aif
Light Another	                            ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,35203825 ,197	    ,1	            ,5	                ,6	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:14	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-06 Light Another.aif
The Phuncky Feel One	                    ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,37268888 ,208	    ,1	            ,5	                ,7	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:14	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-07 The Phuncky Feel One.aif
Break It Up	                                ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,12283583 ,67	    ,1	            ,5	                ,8	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:15	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-08 Break It Up.aif
Real Estate	                                ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,40135967 ,225	    ,1	            ,5	                ,9	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:15	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-09 Real Estate.aif
Stoned Is the Way of the Walk	            ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,29711922 ,166	    ,1	            ,5	                ,10	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:16	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-10 Stoned Is the Way of the Walk.aif
Psycobetabuckdown	                        ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,32059206 ,179	    ,1	            ,5	                ,11	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:16	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-11 Psycobetabuckdown.aif
Something for the Blunted	                ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,13730078 ,75	    ,1	            ,5	                ,12	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:16	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-12 Something for the Blunted.aif
Latin Lingo	                                ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,42577344 ,238	    ,1	            ,5	                ,13	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:16	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-13 Latin Lingo.aif
The Funny Cypress Hill Shit (Album Version)	,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,43052480 ,241	    ,1	            ,5	                ,14	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:16	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-14 The Funny Cypress Hill Shit (Album Version).aif
Tres Equis	                                ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,20644943 ,114	    ,1	            ,5	                ,15	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:16	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-15 Tres Equis.aif
Born to Get Busy	                        ,Cypress Hill	,	        ,Cypress Hill - Original Album Classics	,					,                ,            ,                ,Rap	    ,32306165 ,180	    ,1	            ,5	                ,16	            ,16	                ,2009	,25.12.17 13:18	,25.12.17 13:17	,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Original Album Classics:1-16 Born to Get Busy.aif
