Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
I Wanna Get High,Cypress Hill,L. Muggerud/L. Freese/Reyes,Black Sunday,,,,,,Rap,31206274,174,1,1,1,14,1993,"25.12.17, 13:38","25.12.17, 13:31",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:01 I Wanna Get High.aif
I Ain't Goin' Out Like That,Cypress Hill,T. Ray/Larry Muggerud/Louis Freese/Ozzy Osbourne/Tony Iommi/Bill Ward/Terry Butler,Black Sunday,,,,,,Rap,47670340,267,1,1,2,14,1993,"25.12.17, 13:38","25.12.17, 13:32",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:02 I Ain't Goin' Out Like That.aif
Insane In The Brain,Cypress Hill,Larry Muggerud/Louis Freese/Senen Reyes,Black Sunday,,,,,,Rap,37309729,209,1,1,3,14,1993,"25.12.17, 13:38","25.12.17, 13:32",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:03 Insane In The Brain.aif
When The Shit Goes Down,Cypress Hill,L. Muggerud/Reyes/L. Freese,Black Sunday,,,,,,Rap,33704105,188,1,1,4,14,1993,"25.12.17, 13:38","25.12.17, 13:33",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:04 When The Shit Goes Down.aif
Lick A Shot,Cypress Hill,L. Freese/L. Muggerud,Black Sunday,,,,,,Rap,36321863,203,1,1,5,14,1993,"25.12.17, 13:38","25.12.17, 13:33",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:05 Lick A Shot.aif
Cock The Hammer,Cypress Hill,L. Muggerud/L. Freese/Reyes,Black Sunday,,,,,,Rap,47159889,265,1,1,6,14,1993,"25.12.17, 13:38","25.12.17, 13:33",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:06 Cock The Hammer.aif
Lock Down,Cypress Hill,L. Freese/Reyes/L. Muggerud,Black Sunday,,,,,,Rap,13982571,76,1,1,7,14,1993,"25.12.17, 13:38","25.12.17, 13:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:07 Lock Down.aif
Lil' Putos,Cypress Hill,Reyes/L. Muggerud/L. Freese,Black Sunday,,,,,,Rap,39250108,220,1,1,8,14,1993,"25.12.17, 13:38","25.12.17, 13:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:08 Lil' Putos.aif
Legalize It,Cypress Hill,Reyes/L. Muggerud/L. Freese,Black Sunday,,,,,,Rap,8685869,46,1,1,9,14,1993,"25.12.17, 13:38","25.12.17, 13:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:09 Legalize It.aif
Hits From The Bong,Cypress Hill,John Hurley/L. Freese/Reyes/R. Wilkins/L. Muggerud,Black Sunday,,,,,,Rap,28783742,160,1,1,10,14,1993,"25.12.17, 13:38","25.12.17, 13:35",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:10 Hits From The Bong.aif
"What Go Around Come Around, Kid",Cypress Hill,Reyes/L. Freese/L. Muggerud,Black Sunday,,,,,,Rap,39579412,222,1,1,11,14,1993,"25.12.17, 13:38","25.12.17, 13:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:11 What Go Around Come Around, Kid.aif"
A To The K,Cypress Hill,L. Muggerud/L. Freese/Reyes,Black Sunday,,,,,,Rap,37058047,207,1,1,12,14,1993,"25.12.17, 13:38","25.12.17, 13:35",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:12 A To The K.aif
Hand On The Glock,Cypress Hill,Reyes/L. Muggerud/L. Freese,Black Sunday,,,,,,Rap,37897718,212,1,1,13,14,1993,"25.12.17, 13:38","25.12.17, 13:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:13 Hand On The Glock.aif
Break 'Em Off Some,Cypress Hill,L. Muggerud/L. Freese/Reyes,Black Sunday,,,,,,Rap,29489319,164,1,1,14,14,1993,"25.12.17, 13:38","25.12.17, 13:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:Black Sunday:14 Break 'Em Off Some.aif
