Name	                    ,Künstler	    ,Komponist	                    ,Album	                ,Gruppierung	,Werk	,Nummer für Satz	,Satzzähler	,Name für Satz	,Genre	    ,Größe	    ,Dauer	    ,Disc-Nummer	,Anzahl der Discs	,Titelnummer	,Anzahl der Titel	,Jahr	,Geändert	    ,Hinzugefügt	    ,Datenrate	,Abtastrate	,Lautstärkeanpassung	,Art	            ,Equalizer	,Kommentar	,Wiedergaben	,Zuletzt gespielt	,Übersprungen	,Zuletzt übersprungen	,Meine Wertung	,Ort
Spark Another Owl	        ,Cypress Hill	,Muggs	                        ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,39088255	,219	    ,1	            ,1	                ,1	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:48	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:01 Spark Another Owl.aif
Throw Your Set In The Air	,Cypress Hill	,Muggs/L. Muggerud/L. Freese	,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,44168605	,248	    ,1	            ,1	                ,2	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:48	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:02 Throw Your Set In The Air.aif
Stoned Raiders	            ,Cypress Hill	,Muggs/Reyes/Reyes	            ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,31056184	,174	    ,1	            ,1	                ,3	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:49	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:03 Stoned Raiders.aif
Illusions	                ,Cypress Hill	,Muggs	                        ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,47708327	,268	    ,1	            ,1	                ,4	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:49	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:04 Illusions.aif
Killa Hill Niggas	        ,Cypress Hill	,R. Diggs/Reyes/Reyes/R. Diggs	,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,43326583	,243	    ,1	            ,1	                ,5	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:49	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:05 Killa Hill Niggas.aif
Boom Biddy Bye Bye	        ,Cypress Hill	,Muggs/Reyes	                ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,43505318	,244	    ,1	            ,1	                ,6	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:50	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:06 Boom Biddy Bye Bye.aif
No Rest For The Wicked	    ,Cypress Hill	,Muggs	                        ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,53475444	,301	    ,1	            ,1	                ,7	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:51	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:07 No Rest For The Wicked.aif
Make A Move	                ,Cypress Hill	,Muggs	                        ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,48613849	,273	    ,1	            ,1	                ,8	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:51	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:08 Make A Move.aif
Killafornia	                ,Cypress Hill	,Muggs	                        ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,31514809	,176	    ,1	            ,1	                ,9	            ,15	                ,1995	,25.12.17 13:56	,25.12.17 13:51	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:09 Killafornia.aif
Funk Freakers	            ,Cypress Hill	,Muggs	                        ,III: Temples Of Boom	,				,	    ,                   ,           ,               ,Rap	    ,35113372	,197	    ,1	            ,1	                ,10      	    ,15              	,1995	,25.12.1 ,13:56	,25.12.17 13:52	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Cypress Hill:III_ Temples Of Boom:10 Funk Freakers.aif
