Name	                                    Künstler	                                        Komponist	    Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Looking Through The Eye Of A Pig	        Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    43482997	246	    1	        1	                1	        17	                1998	25.12.17 14:09	25.12.17,14:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:01 Looking Through The Eye Of A Pig.aif
Checkmate	                                Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    38103950	215	    1	        1	                2	        17	                1998	25.12.17 14:09	25.12.17,14:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:02 Checkmate.aif
From The Window Of My Room	                Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    52980367	300	    1	        1	                3	        17	                1998	25.12.17 14:09	25.12.17,14:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:03 From The Window Of My Room.aif
Riot Starter	                            Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    45308129	256	    1	        1	                5	        17	                1998	25.12.17 14:09	25.12.17,14:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:05 Riot Starter.aif
Steel Magnolia	                            Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    37240771	210	    1	        1	                7	        17	                1998	25.12.17 14:09	25.12.17,14:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:07 Steel Magnolia.aif
(Goin' All Out) Nothing To Lose	            Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    41220372	233	    1	        1	                9	        17	                1998	25.12.17 14:09	25.12.17,14:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:09 (Goin' All Out) Nothing To Lose.aif
Dead Men Tell No Tales	                    Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    29660286	167	    1	        1	                11	        17	                1998	25.12.17 14:09	25.12.17,14:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:11 Dead Men Tell No Tales.aif
Dr. Greenthumb	                            Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    46735798	264	    1	        1	                13	        17	                1998	25.12.17 14:09	25.12.17,14:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:13 Dr. Greenthumb.aif
16 Men Till There's No Men Left	            Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    45900855	260	    1	        1	                14	        17	                1998	25.12.17 14:09	25.12.17,14:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:14 16 Men Till There's No Men Left.aif
High Times	                                Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    44743650	253	    1	        1	                15	        17	                1998	25.12.17 14:09	25.12.17,14:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:15 High Times.aif
Clash Of The Titans	                        Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    50409627	285	    1	        1	                16	        17	                1998	25.12.17 14:09	25.12.17,14:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:16 Clash Of The Titans.aif
Lightning Strikes	                        Cypress Hill	                                    L. Muggerud	    IV						                                                Rap	    62407177	353	    1	        1	                17	        17	                1998	25.12.17 14:09	25.12.17,14:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:17 Lightning Strikes.aif
Audio X	                                    Cypress Hill Feat. Barron Ricks	                    L. Muggerud	    IV						                                                Rap	    35180431	199	    1	        1	                6	        17	                1998	25.12.17 14:09	25.12.17,14:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:06 Audio X.aif
I Remember That Freak Bitch (From The Club)	Cypress Hill Feat. Barron Ricks	                    L. Muggerud	    IV						                                                Rap	    56854147	322	    1	        1	                8	        17	                1998	25.12.17 14:09	25.12.17,14:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:08 I Remember That Freak Bitch (From The Club).aif
Tequila Sunrise	                            Cypress Hill Feat. Barron Ricks	                    L. Muggerud	    IV						                                                Rap	    50052138	283	    1	        1	                10	        17	                1998	25.12.17 14:09	25.12.17,14:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:10 Tequila Sunrise.aif
Feature Presentation	                    Cypress Hill Feat. Barron Ricks & Chace Infinite	L. Muggerud	    IV						                                                Rap	    39726880	225	    1	        1	                12	        17	                1998	25.12.17 14:09	25.12.17,14:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:12 Feature Presentation.aif
Prelude To A Come Up	                    Cypress Hill Feat. MC Eiht	                        L. Muggerud	    IV						                                                Rap	    36163575	204	    1	        1	                4	        17	                1998	25.12.17 14:09	25.12.17,14:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:IV:04 Prelude To A Come Up.aif
