Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Intro,Cypress Hill,Larry Muggerud,Stoned Raiders,,,,,,Rap,11703745,63,1,1,1,14,2001,"25.12.17, 14:24","25.12.17, 14:15",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:01 Intro.aif
Trouble,Cypress Hill,Eric Correa/Louis Freese/C. Olde Wolbers/Senen Reyes,Stoned Raiders,,,,,,Rap,53432969,300,1,1,2,14,2001,"25.12.17, 14:24","25.12.17, 14:16",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:02 Trouble.aif
Bitter,Cypress Hill,Louis Freese,Stoned Raiders,,,,,,Rap,46289904,260,1,1,5,14,2001,"25.12.17, 14:24","25.12.17, 14:17",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:05 Bitter.aif
Amplified,Cypress Hill,Louis Freese/J. Fleener/Senen Reyes/Eric Correa/Zambrano,Stoned Raiders,,,,,,Rap,41825855,234,1,1,6,14,2001,"25.12.17, 14:24","25.12.17, 14:17",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:06 Amplified.aif
It Ain't Easy,Cypress Hill,Louis Freese/Senen Reyes,Stoned Raiders,,,,,,Rap,45132739,253,1,1,7,14,2001,"25.12.17, 14:24","25.12.17, 14:17",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:07 It Ain't Easy.aif
Memories,Cypress Hill,Senen Reyes/Louis Freese,Stoned Raiders,,,,,,Rap,44330702,248,1,1,8,14,2001,"25.12.17, 14:24","25.12.17, 14:18",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:08 Memories.aif
Psychodelic Vision,Cypress Hill,Louis Freese,Stoned Raiders,,,,,,Rap,47595276,267,1,1,9,14,2001,"25.12.17, 14:24","25.12.17, 14:18",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:09 Psychodelic Vision.aif
Lowrider,Cypress Hill,Louis Freese/Senen Reyes/U. Reyes,Stoned Raiders,,,,,,Rap,71232888,401,1,1,11,14,2001,"25.12.17, 14:24","25.12.17, 14:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:11 Lowrider.aif
Catastrophe,Cypress Hill,C. Olde Wolbers/Louis Freese/Senen Reyes/Eric Correa,Stoned Raiders,,,,,,Rap,36634990,205,1,1,12,14,2001,"25.12.17, 14:24","25.12.17, 14:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:12 Catastrophe.aif
L.I.F.E.,Cypress Hill Feat Kokane,Senen Reyes/J.Long/Louis Freese,Stoned Raiders,,,,,,Rap,50441218,283,1,1,13,14,2001,"25.12.17, 14:24","25.12.17, 14:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:13 L.I.F.E..aif
Kronologik,Cypress Hill Feat. Kurupt,Louis Freese/Ricardo Brown,Stoned Raiders,,,,,,Rap,50777551,285,1,1,3,14,2001,"25.12.17, 14:24","25.12.17, 14:16",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:03 Kronologik.aif
Here Is Something You Can't Understand,Cypress Hill Feat. Kurupt,Ricardo Brown/Senen Reyes/Louis Freese,Stoned Raiders,,,,,,Rap,48155112,270,1,1,14,14,2001,"25.12.17, 14:24","25.12.17, 14:20",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:14 Here Is Something You Can't Understand.aif
Southland Killers,Cypress Hill Feat. MC Ren & King Tee,Louis Freese/R. Mcbride/Senen Reyes/L. Patterson,Stoned Raiders,,,,,,Rap,36729095,205,1,1,4,14,2001,"25.12.17, 14:24","25.12.17, 14:17",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:04 Southland Killers.aif
"Red, Meth & B",Cypress Hill Feat. Redman & Method Man,Louis Freese/R. Noble/C. Smith,Stoned Raiders,,,,,,Rap,40174756,225,1,1,10,14,2001,"25.12.17, 14:24","25.12.17, 14:19",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stoned Raiders:10 Red, Meth & B.aif"
