Name	                    ,Künstler	                        ,Komponist	                                                                            ,Album	                        ,Gruppierung	,Werk	,Nummer für Satz	,Satzzähler	,Name für Satz	,Genre	,Größe	    ,Dauer	,Disc-Nummer	,Anzahl der Discs	,Titelnummer	,Anzahl der Titel	,Jahr	,Geändert	    ,Hinzugefügt	    ,Datenrate	,Abtastrate	,Lautstärkeanpassung	,Art	            ,Equalizer	,Kommentar	,Wiedergaben	,Zuletzt gespielt	,Übersprungen	,Zuletzt übersprungen	,Meine Wertung	,Ort
How I Could Just Kill A Man	,Cypress Hill	                    ,Louis Freese/Jimmy McCracklin/Senen Reyes/Louis Folsom/Larry Muggerud	                ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,43901087	,247	,1	            ,1	                ,1	            ,12	                ,2005	,25.12.17 10:48	,25.12.17 10:39	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:01 How I Could Just Kill A Man.aif
Hand On The Pump	        ,Cypress Hill	                    ,Brett Bouldin/Louis Freese/Larry Muggerud	                                            ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,42979064	,242	,1	            ,1	                ,2	            ,12	                ,1991	,25.12.17 10:48	,25.12.17 10:40	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:02 Hand On The Pump.aif
Latin Lingo	                ,Cypress Hill	                    ,Louis Freese/Senen Reyes/Larry Muggerud	                                            ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,42480433	,239	,1	            ,1	                ,3	            ,12	                ,1991	,25.12.17 10:48	,25.12.17 10:41	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:03 Latin Lingo.aif
Insane In The Brain	        ,Cypress Hill	                    ,Louis Freese/Larry Muggerud/Senen Reyes	                                            ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,36727449	,206	,1	            ,1	                ,4	            ,12	                ,1993	,25.12.17 10:48	,25.12.17 10:42	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:04 Insane In The Brain.aif
Ain't Goin' Out Like That	,Cypress Hill	                    ,Larry Muggerud/Louis Freese/Tony Iommi/Bill Ward/Todd Ray/Terry Butler/Ozzy Osbourne	,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,46925772	,264	,1	            ,1	                ,5	            ,12	                ,1993	,25.12.17 10:48	,25.12.17 10:42	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:05 Ain't Goin' Out Like That.aif
Throw Your Set In The Air	,Cypress Hill	                    ,Muggs/Larry Muggerud/Louis Freese/Freese	                                            ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,43571776	,245	,1	            ,1	                ,6	            ,12	                ,1995	,25.12.17 10:48	,25.12.17 10:43	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:06 Throw Your Set In The Air.aif
Dr. Greenthumb	            ,Cypress Hill	                    ,Louis Freese/Larry Muggerud	                                                        ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,46984504	,265	,1	            ,1	                ,7	            ,12	                ,1998	,25.12.17 10:48	,25.12.17 10:44	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:07 Dr. Greenthumb.aif
(Rock) Superstar	        ,Cypress Hill	                    ,Senen Reyes/Louis Freese/Lawrence Muggerud	                                            ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,48887289	,275	,1	            ,1	                ,8	            ,12	                ,2000	,25.12.17 10:48	,25.12.17 10:45	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:08 (Rock) Superstar.aif
The Only Way	            ,Cypress Hill	                    ,Burleigh Drummond/Louis Freese/David Pack/K. Abdul-Rahman/Senen Reyes	                ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,39357009	,221	,1	            ,1	                ,10	            ,12	                ,2005	,25.12.17 10:48	,25.12.17 10:46	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:10 The Only Way.aif
EZ Come EZ Go	            ,Cypress Hill	                    ,F. Nassar/Louis Freese	                                                                ,Greatest Hits From The Bong	,				,	    ,                   ,           ,               ,Rap	,43432979	,244	,1	            ,1	                ,11	            ,12	                ,2005	,25.12.17 10:48	,25.12.17 10:47	    ,1411	    ,44100		,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,               ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Greatest Hits From The Bong:11 EZ Come EZ Go.aif
