Name	            ,Künstler	                                ,Komponist	                                                                        ,Album	,Gruppierung	,Werk	,Nummer für Satz	,Satzzähler	,Name für Satz	,Genre	,Größe	    ,Dauer	,Disc-Nummer	,Anzahl der Discs	,Titelnummer	,Anzahl der Titel	,Jahr	,Geändert	    ,Hinzugefügt	    ,Datenrate	,Abtastrate	,Lautstärkeanpassung	,Art	            ,Equalizer	,Kommentar	,Wiedergaben	,Zuletzt gespielt	,Übersprungen	,Zuletzt übersprungen	,Meine Wertung   ,Ort
Light It Up	        ,Cypress Hill	                            ,Edward Holland/Lamont Dozier/Demerick Ferm/Senen Reyes/Brian Holland/Peter Philips	,Rise Up	,			,		,                ,            ,                ,Rap	    ,34952844	,197	    ,1	        ,1	                ,2	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:03	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:02 Light It Up.aif
Get It Anyway	    ,Cypress Hill	                            ,Frank Romano/Demerick Ferm/Mike Mani/Senen Reyes/James Scheffer/Jordan Omley	    ,Rise Up	,			,		,                ,            ,                ,Rap	    ,45922568	,260	    ,1	        ,1	                ,4	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:04	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:04 Get It Anyway.aif
Bang Bang	        ,Cypress Hill	                            ,Sonny Bono/Senen Reyes/Demerick Ferm	                                            ,Rise Up	,			,		,                ,            ,                ,Rap	    ,40529388	,229	    ,1	        ,1	                ,6	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:06	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:06 Bang Bang.aif
K.U.S.H.	        ,Cypress Hill	                            ,Demerick Ferm/Joaquín González	                                                    ,Rise Up	,			,		,                ,            ,                ,Rap	    ,52559894	,297	    ,1	        ,1	                ,7	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:07	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:07 K.U.S.H..aif
Get 'Em Up	        ,Cypress Hill	                            ,Carlton Ridenhour/Senen Reyes/Keith Shocklee	                                    ,Rise Up	,			,		,                ,            ,                ,Rap	    ,41152677	,232	    ,1	        ,1	                ,8	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:08	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:08 Get 'Em Up.aif
I Unlimited	        ,Cypress Hill	                            ,Trevor Horn/Malcolm McLaren/Senen Reyes/Anne Dudley	                            ,Rise Up	,			,		,                ,            ,                ,Rap	    ,46766912	,264	    ,1	        ,1	                ,12	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:10	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:12 I Unlimited.aif
Armed And Dangerous	,Cypress Hill	                            ,Jacob Dutton/Senen Reyes/Willie Hutch	                                            ,Rise Up	,			,		,                ,            ,                ,Rap	    ,36573338	,207	    ,1	        ,1	                ,13	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:11	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:13 Armed And Dangerous.aif
Trouble Seeker	    ,Cypress Hill Feat. Daron Malakian	        ,Senen Reyes/Daron Malakian	                                                        ,Rise Up	,			,		,                ,            ,                ,Rap	    ,38786575	,219	    ,1	        ,1	                ,10	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:09	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:10 Trouble Seeker.aif
Take My Pain	    ,Cypress Hill Feat. Everlast	                ,Erik Schrody/Lawrence Muggerud/Daniel Tannenbaum/Khalil Abdul-Rahman	        ,Rise Up	,			,		,                ,            ,                ,Rap	    ,38363249	,217	    ,1	        ,1	                ,11	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:10	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:11 Take My Pain.aif
Pass The Dutch	    ,Cypress Hill Feat. Evidence & The Alchemist	,Lawrence Muggerud/Khalil Abdul-Rahman/Daniel Seeff/Michael Peretta/Alan Maman	,Rise Up	,			,		,                ,            ,                ,Rap	    ,35465609	,200	    ,1	        ,1	                ,5	        ,15	                ,2010	,25.12.17 11:16	,25.12.17 11:05	,1411	,44100	    ,           ,                       ,AIFF-Audiodatei	,			,			,	            ,                   ,               ,                       ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Rise Up:05 Pass The Dutch.aif
