Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Curb Job (Skaterhater Overture),Davie Allan & The Phantom Surfers,Mel Bergman,Skaterhater,,,,,,Surf,16764067,94,1,1,1,15,1998,"07.01.18, 12:52","07.01.18, 12:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:01 Curb Job (Skaterhater Overture).aif
Sidewalk City,Davie Allan & The Phantom Surfers,Mel Bergman/Davie Allan,Skaterhater,,,,,,Surf,26976445,152,1,1,2,15,1998,"07.01.18, 12:52","07.01.18, 12:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:02 Sidewalk City.aif
Devil Dust,Davie Allan & The Phantom Surfers,Davie Allan,Skaterhater,,,,,,Surf,23690686,134,1,1,3,15,1998,"07.01.18, 12:52","07.01.18, 12:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:03 Devil Dust.aif
Sheena Was A Punk Rocker,Davie Allan & The Phantom Surfers,"Jeffrey Hyman, John Cummings, Tom Erdelyi, Douglas Colvin",Skaterhater,,,,,,Surf,26456698,149,1,1,4,15,1998,"07.01.18, 12:52","07.01.18, 12:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:04 Sheena Was A Punk Rocker.aif
You Meet The Nicest People On A Harley,Davie Allan & The Phantom Surfers,"Davie Allan, Janine Josslin, Mel Bergman",Skaterhater,,,,,,Surf,19184311,108,1,1,5,15,1998,"07.01.18, 12:52","07.01.18, 12:45",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:05 You Meet The Nicest People On A Harley.aif
Supercycle (Love Theme From Skaterhater),Davie Allan & The Phantom Surfers,Davie Allan,Skaterhater,,,,,,Surf,29455468,166,1,1,6,15,1998,"07.01.18, 12:52","07.01.18, 12:45",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:06 Supercycle (Love Theme From Skaterhater).aif
The End Of A Skater,Davie Allan & The Phantom Surfers,Mel Bergman/Davie Allan,Skaterhater,,,,,,Surf,16749955,94,1,1,7,15,1998,"07.01.18, 12:52","07.01.18, 12:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:07 The End Of A Skater.aif
Blues Theme (Vocal),Davie Allan & The Phantom Surfers,Mike Curb/Davie Allan,Skaterhater,,,,,,Surf,20329697,115,1,1,8,15,1998,"07.01.18, 12:52","07.01.18, 12:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:08 Blues Theme (Vocal).aif
Grindhouse,Davie Allan & The Phantom Surfers,Mel Bergman/Davie Allan,Skaterhater,,,,,,Surf,33554986,189,1,1,9,15,1998,"07.01.18, 12:52","07.01.18, 12:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:09 Grindhouse.aif
(The Sound Of) Breaking Glass,Davie Allan & The Phantom Surfers,Maz Kattuah,Skaterhater,,,,,,Surf,18610388,105,1,1,10,15,1998,"07.01.18, 12:52","07.01.18, 12:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Davie Allan & The Phantom Surfers:Skaterhater:10 (The Sound Of) Breaking Glass.aif
