Name	                Künstler	                    Komponist	                                                                                            Album	                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
MfG	                    Die Puhdys	                    Thomas Dürr/Michael B. Schmidt/Michael DJ Beck/Andreas Rieke	                                        A Tribute To Die Fantastischen Vier						                                            Crossover	42026518	237	    1	        2	                13	        18	                2009	03.01.18 17:31	03.01.18 17:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-13 MfG.aif
Mehr geben	            Fehlfarben	                    Peter Hein/Frank Fenstermacher/Michael Kemner/U. Jahnke/Kurt Dahlke/Moses Schneider/Saskia von Klitzing	A Tribute To Die Fantastischen Vier						                                            Crossover	34104969	193	    1	        2	                17	        18	                2009	03.01.18 17:31	03.01.18 17:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-17 Mehr geben.aif
Le Smou	                FFR	Michael                     DJ Beck/Michael B. Schmidt/Thomas Dürr/Peter Hoff/Andreas Rieke	                                        A Tribute To Die Fantastischen Vier						                                            Crossover	39208841	222	    1	        2	                12	        18	                2009	03.01.18 17:31	03.01.18 17:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-12 Le Smou.aif
Laut Reden Nichts Sagen	Grossstadtgeflüster	            Michael DJ Beck/Michael B. Schmidt/Thomas Dürr/Andreas Rieke	                                        A Tribute To Die Fantastischen Vier						                                            Crossover	34443721	195	    1	        2	                15	        18	                2009	03.01.18 17:31	03.01.18 17:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-15 Laut Reden Nichts Sagen.aif
Yeah Yeah Yeah	        In Extremo	                    Michael DJ Beck/Andreas Rieke/Thomas Dürr/Michael B. Schmidt	                                        A Tribute To Die Fantastischen Vier						                                            Crossover	30560528	172	    1	        2	                4	        18	                2009	03.01.18 17:31	03.01.18 17:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-04 Yeah Yeah Yeah.aif
G. Boren	            Knorkator	                    Alf Ator	                                                                                            A Tribute To Die Fantastischen Vier						                                            Crossover	40791607	230	    1	        2	                10	        18	                2009	03.01.18 17:31	03.01.18 17:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-10 G. Boren.aif
Die Da!?!	            Mamas Gun	                    Andreas Rieke/Michael B. Schmidt/Thomas Dürr/Michael DJ Beck	                                        A Tribute To Die Fantastischen Vier						                                            Crossover	44322074	251	    1	        2	                7	        18	                2009	03.01.18 17:31	03.01.18 17:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-07 Die Da!_!.aif
Picknicken	            Massive Töne	                Taan Newjam/Jean-Christoph Ritter/Joao Dos Santos	                                                    A Tribute To Die Fantastischen Vier						                                            Crossover	38853619	220	    1	        2	                6	        18	                2009	03.01.18 17:31	03.01.18 17:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-06 Picknicken.aif
Was bleibt	            Pohlmann & Les Sauvignons	    Andreas Rieke/Max Herre/Michael DJ Beck/Thomas Dürr/Michael B. Schmidt	                                A Tribute To Die Fantastischen Vier						                                            Crossover	46436560	262	    1	        2	                16	        18	                2009	03.01.18 17:31	03.01.18 17:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-16 Was bleibt.aif
Ewig	                The Rattles Feat. Gary Krosnoff	Michael B. Schmidt/Michael DJ Beck/Paul Mogg/Thomas Dürr/Andreas Rieke/Jason Rowe	                    A Tribute To Die Fantastischen Vier						                                            Crossover	50319733	285	    1	        2	                9	        18	                2009	03.01.18 17:31	03.01.18 17:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:1-09 Ewig.aif
