Name	                        Künstler	        Komponist	                                                                                Album	                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Was bleibt	                    Christina Lux	    Max Herre/Andreas Rieke/Thomas Dürr/Michael B. Schmidt/Michael DJ Beck	                    A Tribute To Die Fantastischen Vier						                                            Crossover	42911231	243	    2	        2	                8	        18	                2009	03.01.18 17:50	03.01.18 17:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-08 Was bleibt.aif
Hoffnung	                    Clueso	            Michael DJ Beck/Andreas Rieke/Michael B. Schmidt/Thomas Dürr	                            A Tribute To Die Fantastischen Vier						                                            Crossover	43264005	245	    2	        2	                17	        18	                2009	03.01.18 17:50	03.01.18 17:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-17 Hoffnung.aif
Buenos Dias Messias	            Dieter Nuhr	        Ralf Goldkind/Michael DJ Beck/Thomas Dürr/Andreas Rieke/Michael B. Schmidt	                A Tribute To Die Fantastischen Vier						                                            Crossover	28152449	159	    2	        2	                18	        18	                2009	03.01.18 17:50	03.01.18 17:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-18 Buenos Dias Messias.aif
Krieger [Version 2009]	        Extrabreit	        Stefan Kleinkrieg/Kai Havaii	                                                            A Tribute To Die Fantastischen Vier						                                            Crossover	49085128	278	    2	        2	                13	        18	                2009	03.01.18 17:50	03.01.18 17:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-13 Krieger [Version 2009].aif
Ernten was wir säen	            Fool's Garden	    Andreas Rieke/Michael DJ Beck/Thomas Dürr/Michael B. Schmidt	                            A Tribute To Die Fantastischen Vier						                                            Crossover	49266349	279	    2	        2	                15	        18	                2009	03.01.18 17:50	03.01.18 17:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-15 Ernten was wir säen.aif
Wie die anderen	                Gods Of Blitz	    Michael B. Schmidt/Thomas Dürr/Andreas Rieke/Michael DJ Beck	                            A Tribute To Die Fantastischen Vier						                                            Crossover	32680016	185	    2	        2	                3	        18	                2009	03.01.18 17:50	03.01.18 17:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-03 Wie die anderen.aif
Er muss raus	                Juli	            Eva Briegel/Simon Triebel/Jonas Pfetzing	                                                A Tribute To Die Fantastischen Vier						                                            Crossover	37619121	213	    2	        2	                2	        18	                2009	03.01.18 17:50	03.01.18 17:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-02 Er muss raus.aif
Sommerregen	                    Karat	            Lillo Scrimali/Michael B. Schmidt/Andreas Rieke/Thomas Dürr/Michael DJ Beck/Rusbeh Nagash	A Tribute To Die Fantastischen Vier						                                            Crossover	66546513	376	    2	        2	                16	        18	                2009	03.01.18 17:50	03.01.18 17:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-16 Sommerregen.aif
Paranoia Blues (Schizophren)	Karpatenhund	    Björn Sonnenberg/Stefanie Schrank	                                                        A Tribute To Die Fantastischen Vier						                                            Crossover	46262774	262	    2	        2	                9	        18	                2009	03.01.18 17:50	03.01.18 17:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-09 Paranoia Blues (Schizophren).aif
Dicker Pulli	                Mario Barth	        Andreas Rieke/Michael B. Schmidt/Thomas Dürr/Michael DJ Beck	                            A Tribute To Die Fantastischen Vier						                                            Crossover	40909659	231	    2	        2	                1	        18	                2009	03.01.18 17:50	03.01.18 17:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-01 Dicker Pulli.aif
Nach dem Regen	                Max Mutzke	        Oliver Rüger	                                                                            A Tribute To Die Fantastischen Vier						                                            Crossover	44319967	250	    2	        2	                14	        18	                2009	03.01.18 17:50	03.01.18 17:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-14 Nach dem Regen.aif
Sie ist weg	                    Onkel Rock'n Roll	Michael B. Schmidt/Michael DJ Beck/Andreas Rieke/Thomas Dürr	                            A Tribute To Die Fantastischen Vier						                                            Crossover	46410992	262	    2	        2	                6	        18	                2009	03.01.18 17:50	03.01.18 17:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-06 Sie ist weg.aif
Ernten was wir säen	            Oomph!	            Michael DJ Beck/Michael B. Schmidt/Thomas Dürr/Andreas Rieke	                            A Tribute To Die Fantastischen Vier						                                            Crossover	41147235	233	    2	        2	                7	        18	                2009	03.01.18 17:50	03.01.18 17:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-07 Ernten was wir säen.aif
Über Nacht zum Krieger gemacht	Peter Maffay	    Peter Keller	                                                                            A Tribute To Die Fantastischen Vier						                                            Crossover	54732304	310	    2	        2	                4	        18	                2009	03.01.18 17:50	03.01.18 17:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-04 Über Nacht zum Krieger gemacht.aif
MfG	                            PUR	                Michael B. Schmidt/Michael DJ Beck/Andreas Rieke/Thomas Dürr	                            A Tribute To Die Fantastischen Vier						                                            Crossover	39735997	225	    2	        2	                11	        18	                2009	03.01.18 17:50	03.01.18 17:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-11 MfG.aif
Die Da!?!	                    Sasha	            Andreas Rieke/Thomas Dürr/Michael DJ Beck/Michael B. Schmidt	                            A Tribute To Die Fantastischen Vier						                                            Crossover	40822626	231	    2	        2	                5	        18	                2009	03.01.18 17:50	03.01.18 17:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-05 Die Da!_!.aif
4 gewinnt	                    Spezializtz	        Michael DJ Beck/Thomas Dürr/Michael B. Schmidt/Andreas Rieke	                            A Tribute To Die Fantastischen Vier						                                            Crossover	31798011	180	    2	        2	                10	        18	                2009	03.01.18 17:50	03.01.18 17:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-10 4 gewinnt.aif
Geboren	                        Thomas Anders	    Michael DJ Beck/Ralf Goldkind/Andreas Rieke/Thomas Dürr/Michael B. Schmidt	                A Tribute To Die Fantastischen Vier						                                            Crossover	39383239	223	    2	        2	                12	        18	                2009	03.01.18 17:50	03.01.18 17:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Tribute To Die Fantastischen Vier:2-12 Geboren.aif
