Name	                        Künstler	            Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	        Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	                Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Beat Me	                        DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	40908223	231			                            1	        12		            2001    28.12.17 14:27	28.12.17 14:27	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:01 Beat Me.aif
Alabama Wine	                DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	37657764	213			                            2	        12		            2001    28.12.17 14:28	28.12.17 14:27	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:02 Alabama Wine.aif
Karmann Ghia	                DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	29296404	166			                            3	        12		            2001    28.12.17 14:28	28.12.17 14:28	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:03 Karmann Ghia.aif
She Was Beautiful In Lousiana	DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	48613397	275			                            4	        12		            2001    28.12.17 14:28	28.12.17 14:28	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:04 She Was Beautiful In Lousiana.aif
Your Kisses Saved Me	        DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	29002412	164			                            5	        12		            2001    28.12.17 14:29	28.12.17 14:28	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:05 Your Kisses Saved Me.aif
I Belong To You	                DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	36098391	204			                            6	        12		            2001    28.12.17 14:29	28.12.17 14:29	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:06 I Belong To You.aif
He Did A Favour For Me	        DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	39762814	225			                            7	        12		            2001    28.12.17 14:29	28.12.17 14:29	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:07 He Did A Favour For Me.aif
No Soy Facil	                DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	24698244	140			                            8	        12		            2001    28.12.17 14:29	28.12.17 14:29	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:08 No Soy Facil.aif
Down In The Cracks	            DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	37041546	209			                            9	        12		            2001    28.12.17 14:30	28.12.17 14:29	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:09 Down In The Cracks.aif
They're Gonna Settle The Score	DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	39614647	224			                            10	        12		            2001    28.12.17 14:30	28.12.17 14:30	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:10 They're Gonna Settle The Score.aif
She's Gettin' Funky	            DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	31448492	178			                            11	        12		            2001    28.12.17 14:30	28.12.17 14:30	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:11 She's Gettin' Funky.aif
Drink Up And Go Home	        DM Bob & The Deficits		        Band's Ruin						                                                Country & Folk	38052909	215			                            12	        12		            2001    28.12.17 14:30	28.12.17 14:30	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:DM Bob & The Deficits:Band's Ruin:12 Drink Up And Go Home.aif
