Name	            Künstler	Komponist	                                                        Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Anger!	            Downset	    Rogelio Lozano/James Morris/Brian Schwager/Rey Oropeza/Chris Lee	Downset						                                                Metal	44793906	253	    1	        1	                1	        10	                1994	28.12.17 09:11	28.12.17 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:01 Anger!.aif
Ritual	            Downset	    Roy Z	                                                            Downset						                                                Metal	38003623	214	    1	        1	                2	        10	                1994	28.12.17 09:11	28.12.17 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:02 Ritual.aif
Take´Em Out	        Downset	    Roy Z	                                                            Downset						                                                Metal	28442762	160	    1	        1	                3	        10	                1994	28.12.17 09:11	28.12.17 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:03 Take_Em Out.aif
Prostitutionalized	Downset	    Roy Z	                                                            Downset						                                                Metal	34310995	194	    1	        1	                4	        10	                1994	28.12.17 09:11	28.12.17 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:04 Prostitutionalized.aif
Downset	            Downset	    Chris Lee/Rogelio Lozano/James Morris/Rey Oropeza/Brian Schwager	Downset						                                                Metal	32201299	182	    1	        1	                5	        10	                1994	28.12.17 09:11	28.12.17 09:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:05 Downset.aif
My American Prayer	Downset	    Roy Z	                                                            Downset						                                                Metal	57976819	328	    1	        1	                6	        10	                1994	28.12.17 09:11	28.12.17 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:06 My American Prayer.aif
Holding Hands	    Downset	    Roy Z	                                                            Downset						                                                Metal	34588526	195	    1	        1	                7	        10	                1994	28.12.17 09:11	28.12.17 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:07 Holding Hands.aif
About To Blast	    Downset	    Roy Z	                                                            Downset						                                                Metal	31258095	176	    1	        1	                8	        10	                1994	28.12.17 09:11	28.12.17 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:08 About To Blast.aif
Breed The Killer	Downset	    Roy Z	                                                            Downset						                                                Metal	30336113	171	    1	        1	                9	        10	                1994	28.12.17 09:11	28.12.17 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:09 Breed The Killer.aif
Dying Of Thirst	    Downset	    Roy Z	                                                            Downset						                                                Metal	35804513	202	    1	        1	                10	        10	                1994	28.12.17 09:11	28.12.17 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:Downset:Downset_1994_Downset:10 Dying Of Thirst.aif
