Name	                Künstler	Komponist	                                                                Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	                Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Intro	                Downset	    Unknown/Martin Luther King Jr.	                                            Do We Speak A Dead Language?						                                            Metal	8742502	    48	    1	        1	                1	        15	                1996	28.12.17 09:30	28.12.17 09:23	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:01 Intro.aif
Empower	                Downset	    Brian Schwager/Chris Lee/James Morris/Roger J. ""Ram"" Ramirez/Rey Oropeza	Do We Speak A Dead Language?						                                            Metal	25554642	144	    1	        1	                2	        15	                1996	28.12.17 09:30	28.12.17 09:23	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:02 Empower.aif
Eyes Shut Tight	        Downset	    Brian Schwager/Roger J. ""Ram"" Ramirez/Chris Lee/Rey Oropeza/James Morris	Do We Speak A Dead Language?						                                            Metal	44071946	249	    1	        1	                3	        15	                1996	28.12.17 09:30	28.12.17 09:24	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:03 Eyes Shut Tight.aif
Keep On Breathing	    Downset	    Roger J. ""Ram"" Ramirez/Chris Lee/Brian Schwager/James Morris/Rey Oropeza	Do We Speak A Dead Language?						                                            Metal	30627916	173	    1	        1	                4	        15	                1996	28.12.17 09:30	28.12.17 09:24	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:04 Keep On Breathing.aif
Hurl A Stone	        Downset	    Chris Lee/Brian Schwager/Rey Oropeza/James Morris/Roger J. ""Ram"" Ramirez	Do We Speak A Dead Language?						                                            Metal	25561703	144	    1	        1	                5	        15	                1996	28.12.17 09:30	28.12.17 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:05 Hurl A Stone.aif
Fire	                Downset	    James Morris/Rey Oropeza/Brian Schwager/Chris Lee/Roger J. ""Ram"" Ramirez	Do We Speak A Dead Language?						                                            Metal	26377839	148	    1	        1	                6	        15	                1996	28.12.17 09:30	28.12.17 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:06 Fire.aif
Touch	                Downset	    Rey Oropeza/Roger J. ""Ram"" Ramirez/James Morris/Chris Lee/Brian Schwager	Do We Speak A Dead Language?						                                            Metal	45363184	256	    1	        1	                7	        15	                1996	28.12.17 09:30	28.12.17 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:07 Touch.aif
Against The Spirits	    Downset	    Brian Schwager/Rey Oropeza/Chris Lee/James Morris/Roger J. ""Ram"" Ramirez	Do We Speak A Dead Language?						                                            Metal	22574670	127	    1	        1	                8	        15	                1996	28.12.17 09:30	28.12.17 09:26	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:08 Against The Spirits.aif
Sickness	            Downset	    Roger J. ""Ram"" Ramirez/Chris Lee/James Morris/Rey Oropeza/Brian Schwager	Do We Speak A Dead Language?						                                            Metal	28440547	160	    1	        1	                9	        15	                1996	28.12.17 09:30	28.12.17 09:26	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:09 Sickness.aif
Pocket Full Of Fatcaps	Downset	    Roger J. ""Ram"" Ramirez/James Morris/Chris Lee/Brian Schwager/Rey Oropeza	Do We Speak A Dead Language?						                                            Metal	34957956	197	    1	        1	                10	        15	                1996	28.12.17 09:30	28.12.17 09:27	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:10 Pocket Full Of Fatcaps.aif
Sangre De Mis Manos	    Downset	    Roger J. ""Ram"" Ramirez/Brian Schwager/Rey Oropeza/James Morris/Chris Lee	Do We Speak A Dead Language?						                                            Metal	26029761	146	    1	        1	                11	        15	                1996	28.12.17 09:30	28.12.17 09:27	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:11 Sangre De Mis Manos.aif
Horrifying	            Downset	    Roger J. ""Ram"" Ramirez/Brian Schwager/Rey Oropeza/Chris Lee/James Morris	Do We Speak A Dead Language?						                                            Metal	37502808	212	    1	        1	                12	        15	                1996	28.12.17 09:30	28.12.17 09:27	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:12 Horrifying.aif
Sickness (Reprise)	    Downset	    Brian Schwager/James Morris/Chris Lee/Rey Oropeza/Roger J. ""Ram"" Ramirez	Do We Speak A Dead Language?						                                            Metal	17934176	101	    1	        1	                13	        15	                1996	28.12.17 09:30	28.12.17 09:28	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:13 Sickness (Reprise).aif
Permanent Days Unmoving	Downset	    Chris Lee/Roger J. ""Ram"" Ramirez/James Morris/Rey Oropeza/Brian Schwager	Do We Speak A Dead Language?						                                            Metal	26184997	147	    1	        1	                14	        15	                1996	28.12.17 09:30	28.12.17 09:28	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:14 Permanent Days Unmoving.aif
Ashes In Hand	        Downset	    James Morris/Brian Schwager/Rey Oropeza/Roger J. ""Ram"" Ramirez/Chris Lee	Do We Speak A Dead Language?						                                            Metal	117576651	665	    1	        1	                15	        15	                1996	28.12.17 09:30	28.12.17 09:28	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Do We Speak A Dead Language_:15 Ashes In Hand.aif
