Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Strictly Business,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,50409171,285,1,1,1,10,1988,"03.01.18, 09:46","03.01.18, 09:37",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:01 Strictly Business.aif
I'm Housin',EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,42101901,238,1,1,2,10,1988,"03.01.18, 09:46","03.01.18, 09:38",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:02 I'm Housin'.aif
Let The Funk Flow,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,44959587,254,1,1,3,10,1988,"03.01.18, 09:46","03.01.18, 09:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:03 Let The Funk Flow.aif
You Gots To Chill,EPMD,Roger,Strictly Business,,,,,,Rap,46250786,261,1,1,4,10,1988,"03.01.18, 09:46","03.01.18, 09:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:04 You Gots To Chill.aif
It's My Thing,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,60452207,342,1,1,5,10,1988,"03.01.18, 09:46","03.01.18, 09:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:05 It's My Thing.aif
You're A Customer,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,56933619,322,1,1,6,10,1988,"03.01.18, 09:46","03.01.18, 09:42",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:06 You're A Customer.aif
The Steve Martin,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,48922706,276,1,1,7,10,1988,"03.01.18, 09:46","03.01.18, 09:42",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:07 The Steve Martin.aif
Get Off The Bandwagon,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,46518967,263,1,1,8,10,1988,"03.01.18, 09:46","03.01.18, 09:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:08 Get Off The Bandwagon.aif
D.J. K La Boss,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,47885472,271,1,1,9,10,1988,"03.01.18, 09:46","03.01.18, 09:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:09 D.J. K La Boss.aif
Jane,EPMD,"Erick Sermon/Erick Sermon, Parrish Smith/Parrish Smith",Strictly Business,,,,,,Rap,31477911,178,1,1,10,10,1988,"03.01.18, 09:46","03.01.18, 09:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:EPMD:Strictly Business:10 Jane.aif
