Name	    Künstler	Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	        Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	        Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Medium	    Eastwood		        Behind The Wall						                                                Crossover	    33644008	190	    1	        1	                1	        11		            1995    28.12.17 17:00	28.12.17 16:30	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:01 Medium.aif
Stand	    Eastwood		        Behind The Wall						                                                Crossover	    41255079	233	    1	        1	                2	        11		            1995    28.12.17 17:00	28.12.17 16:31	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:02 Stand.aif
Green	    Eastwood		        Behind The Wall						                                                Crossover	    41370327	234	    1	        1	                3	        11		            1995    28.12.17 17:00	28.12.17 16:32	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:03 Green.aif
Addicted	Eastwood		        Behind The Wall						                                                Crossover	    36591066	207	    1	        1	                4	        11		            1995    28.12.17 17:00	28.12.17 16:33	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:04 Addicted.aif
1984	    Eastwood		        Behind The Wall						                                                Crossover	    35669078	202	    1	        1	                5	        11		            1995    28.12.17 17:00	28.12.17 16:34	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:05 1984.aif
Flavor	    Eastwood		        Behind The Wall						                                                Crossover	    27759304	157	    1	        1	                6	        11		            1995    28.12.17 17:00	28.12.17 16:34	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:06 Flavor.aif
Remember	Eastwood		        Behind The Wall						                                                Crossover	    41248026	233	    1	        1	                7	        11		            1995    28.12.17 17:00	28.12.17 16:35	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:07 Remember.aif
Timebomb	Eastwood		        Behind The Wall						                                                Crossover	    43334250	245	    1	        1	                8	        11		            1995    28.12.17 17:00	28.12.17 16:35	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:08 Timebomb.aif
Train	    Eastwood		        Behind The Wall						                                                Crossover	    34344903	194	    1	        1	                9	        11		            1995    28.12.17 17:00	28.12.17 16:36	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:09 Train.aif
Emergency	Eastwood		        Behind The Wall						                                                Crossover	    33234764	188	    1	        1	                10	        11		            1995    28.12.17 17:00	28.12.17 16:36	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:10 Emergency.aif
Fire	    Eastwood		        Behind The Wall						                                                Crossover	    74458263	422	    1	        1	                11	        11		            1995    28.12.17 17:00	28.12.17 16:37	    1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Eastwood:Behind The Wall:11 Fire.aif
