Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
"Right Here, Right Now",Fatboy Slim,Cook/Walsh/Peters,"You've Come A Long Way, Baby",,,,,,Electronica,68536265,388,1,1,1,11,1998,"04.01.18, 08:06","04.01.18, 07:57",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:01 Right Here, Right Now.aif"
The Rockafeller Skank,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,73094416,413,1,1,2,11,1998,"04.01.18, 08:06","04.01.18, 07:58",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:02 The Rockafeller Skank.aif"
Fucking In Heaven,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,41518812,234,1,1,3,11,1998,"04.01.18, 08:06","04.01.18, 07:59",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:03 Fucking In Heaven.aif"
Gangster Tripping,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,56543388,320,1,1,4,11,1998,"04.01.18, 08:06","04.01.18, 08:00",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:04 Gangster Tripping.aif"
Build It Up - Tear It Down,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,53965605,305,1,1,5,11,1998,"04.01.18, 08:06","04.01.18, 08:00",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:05 Build It Up - Tear It Down.aif"
Kalifornia,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,62435141,353,1,1,6,11,1998,"04.01.18, 08:06","04.01.18, 08:01",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:06 Kalifornia.aif"
Soul Surfing,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,52377991,296,1,1,7,11,1998,"04.01.18, 08:06","04.01.18, 08:01",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:07 Soul Surfing.aif"
You're Not From Brighton,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,56665699,320,1,1,8,11,1998,"04.01.18, 08:06","04.01.18, 08:02",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:08 You're Not From Brighton.aif"
Praise You,Fatboy Slim,The Cook/Fatboy Slim;Camille Yarborough/Cook - Yarborough,"You've Come A Long Way, Baby",,,,,,Electronica,57096166,323,1,1,9,11,1998,"04.01.18, 08:06","04.01.18, 08:02",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:09 Praise You.aif"
Love Island,Fatboy Slim,Fatboy Slim,"You've Come A Long Way, Baby",,,,,,Electronica,56247050,318,1,1,10,11,1998,"04.01.18, 08:06","04.01.18, 08:03",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:10 Love Island.aif"
Acid 8000,Fatboy Slim,,"You've Come A Long Way, Baby",,,,,,Electronica,79209605,448,1,1,11,11,1998,"04.01.18, 08:06","04.01.18, 08:03",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fatboy Slim:You've Come A Long Way, Baby:11 Acid 8000.aif"
