Name	                        Künstler	Komponist	                Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Freestyle Noize	                Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	59581648	337	    1	        1	                1	        5	                1997	30.12.17 17:35	30.12.17 17:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:01 Freestyle Noize.aif
Dancehall Vibes	                Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	67359712	381	    1	        1	                2	        5	                1998	30.12.17 17:35	30.12.17 17:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:02 Dancehall Vibes.aif
Drop The Boom	                Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	32093822	181	    1	        1	                3	        5	                1998	30.12.17 17:35	30.12.17 17:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:03 Drop The Boom.aif
Don't Stop	                    Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	50004299	283	    1	        1	                4	        5	                1997	30.12.17 17:35	30.12.17 17:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:04 Don't Stop.aif
Here We Go	                    Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	51561323	291	    1	        1	                5	        5	                1998	30.12.17 17:35	30.12.17 17:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:05 Here We Go.aif
The Darkside	                Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	51342589	290	    1	        1	                6	        5	                1999	30.12.17 17:35	30.12.17 17:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:06 The Darkside.aif
B-Boy Stance	                Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	48821245	276	    1	        1	                7	        5	                1998	30.12.17 17:35	30.12.17 17:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:07 B-Boy Stance.aif
We Rock Hard	                Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	75657565	428	    1	        1	                8	        5	                1998	30.12.17 17:35	30.12.17 17:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:08 We Rock Hard.aif
Breaker Beats (Part 1)	        Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	30837863	174	    1	        1	                9	        5	                1998	30.12.17 17:35	30.12.17 17:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:09 Breaker Beats (Part 1).aif
Breaker Beats (Part 2)	        Freestylers	Harvey - Cantor - Sutter	We Rock Hard						                                    Electronica	31425866	177	    1	        1	                10	        5	                1999	30.12.17 17:35	30.12.17 17:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Freestylers:We Rock Hard:10 Breaker Beats (Part 2).aif
