Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Evil Eye,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,37536194,210,1,1,1,14,1997,"03.01.18, 20:41","03.01.18, 20:28",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:01 Evil Eye.aif
Urethane,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,38524034,216,1,1,2,14,1997,"03.01.18, 20:41","03.01.18, 20:29",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:02 Urethane.aif
The Action Is Go,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,33262618,186,1,1,3,14,1997,"03.01.18, 20:41","03.01.18, 20:29",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:03 The Action Is Go.aif
Burning Road,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,61660662,347,1,1,4,14,1997,"03.01.18, 20:41","03.01.18, 20:30",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:04 Burning Road.aif
Guardrail,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,31573875,177,1,1,5,14,1997,"03.01.18, 20:41","03.01.18, 20:31",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:05 Guardrail.aif
Anodizer,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,47362850,266,1,1,6,14,1997,"03.01.18, 20:41","03.01.18, 20:32",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:06 Anodizer.aif
Trackside Hoax,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,52252664,294,1,1,7,14,1997,"03.01.18, 20:41","03.01.18, 20:32",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:07 Trackside Hoax.aif
Unknown World,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,30216775,169,1,1,8,14,1997,"03.01.18, 20:41","03.01.18, 20:33",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:08 Unknown World.aif
Laserbl'ast!,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,40539702,227,1,1,9,14,1997,"03.01.18, 20:41","03.01.18, 20:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:09 Laserbl'ast!.aif
Hogwash,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,39436610,221,1,1,10,14,1997,"03.01.18, 20:41","03.01.18, 20:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:10 Hogwash.aif
"Grendel, Snowman",Fu Manchu,,The Action Is Go,,,,,,Stonerrock,44396987,249,1,1,11,14,1997,"03.01.18, 20:41","03.01.18, 20:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:11 Grendel, Snowman.aif"
Strolling Astronomer,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,39707103,223,1,1,12,14,1997,"03.01.18, 20:41","03.01.18, 20:35",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:12 Strolling Astronomer.aif
Saturn III,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,84286901,475,1,1,13,14,1997,"03.01.18, 20:41","03.01.18, 20:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:13 Saturn III.aif
Nothing Done,Fu Manchu,,The Action Is Go,,,,,,Stonerrock,13733959,75,1,1,14,14,1997,"03.01.18, 20:41","03.01.18, 20:37",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:The Action Is Go:14 Nothing Done.aif
