Name	            Künstler	Komponist	                                Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Hell On Wheels	    Fu Manchu	Bob Balch/Scott Hill/Brad Davis/Brant Bjork	King Of The Road						                                Stonerrock	47945053	271	    1	        1	                1	        11	                2000	03.01.18 18:24	03.01.18 18:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:01 Hell On Wheels.aif
Over The Edge	    Fu Manchu	Brant Bjork/Scott Hill/Brad Davis/Bob Balch	King Of The Road						                                Stonerrock	53394636	302	    1	        1	                2	        11	                2000	03.01.18 18:24	03.01.18 18:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:02 Over The Edge.aif
Boogie Van	        Fu Manchu	Bob Balch/Brant Bjork/Scott Hill/Brad Davis	King Of The Road						                                Stonerrock	45451929	257	    1	        1	                3	        11	                2000	03.01.18 18:24	03.01.18 18:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:03 Boogie Van.aif
King Of The Road	Fu Manchu	Scott Hill/Brad Davis/Bob Balch/Brant Bjork	King Of The Road						                                Stonerrock	43283391	244	    1	        1	                4	        11	                2000	03.01.18 18:24	03.01.18 18:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:04 King Of The Road.aif
No Dice	            Fu Manchu	Scott Hill/Bob Balch/Brad Davis/Brant Bjork	King Of The Road						                                Stonerrock	33461430	189	    1	        1	                5	        11	                2000	03.01.18 18:24	03.01.18 18:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:05 No Dice.aif
Blue Tile Fever	    Fu Manchu	Scott Hill/Bob Balch/Brad Davis/Brant Bjork	King Of The Road						                                Stonerrock	58383230	330	    1	        1	                6	        11	                2000	03.01.18 18:24	03.01.18 18:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:06 Blue Tile Fever.aif
Grasschopper	    Fu Manchu	Bob Balch/Brad Davis/Scott Hill/Brant Bjork	King Of The Road						                                Stonerrock	40877291	231	    1	        1	                7	        11	                2000	03.01.18 18:24	03.01.18 18:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:07 Grasschopper.aif
Weird Beard	        Fu Manchu	Scott Hill/Brad Davis/Bob Balch/Brant Bjork	King Of The Road						                                Stonerrock	37549210	212	    1	        1	                8	        11	                2000	03.01.18 18:24	03.01.18 18:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:08 Weird Beard.aif
Drive	            Fu Manchu	Brant Bjork/Scott Hill/Bob Balch/Brad Davis	King Of The Road						                                Stonerrock	31328164	177	    1	        1	                9	        11	                2000	03.01.18 18:24	03.01.18 18:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:09 Drive.aif
Hotdoggin'  	    Fu Manchu	Brant Bjork/Brad Davis/Bob Balch/Scott Hill	King Of The Road						                                Stonerrock	51755292	292	    1	        1	                10	        11	                2000	03.01.18 18:24	03.01.18 18:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:10 Hotdoggin'.aif
Freedom Of Choice	Fu Manchu	Gerald Casale/Mark Mothersbaugh	            King Of The Road						                                Stonerrock	36213271	204	    1	        1	                11	        11	                2000	03.01.18 18:24	03.01.18 18:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:King Of The Road:11 Freedom Of Choice.aif
