Name	            Künstler	Komponist	                Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Separate Kingdom	Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	39710976	224	    1	        1	                1	        11	                2001	03.01.18 18:34	03.01.18 18:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:01 Separate Kingdom.aif
Hang On	Fu Manchu	Fu Manchu	                            California Crossing						                                            Stonerrock	38758407	219	    1	        1	                2	        11	                2001	03.01.18 18:34	03.01.18 18:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:02 Hang On.aif
Mongoose	        Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	44219752	250	    1	        1	                3	        11	                2001	03.01.18 18:34	03.01.18 18:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:03 Mongoose.aif
Thinkin' Out Loud	Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	36707473	207	    1	        1	                4	        11	                2001	03.01.18 18:34	03.01.18 18:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:04 Thinkin' Out Loud.aif
California Crossing	Fu Manchu	Fu Manchu; Rodney Skelton	California Crossing						                                            Stonerrock	38288035	216	    1	        1	                5	        11	                2001	03.01.18 18:34	03.01.18 18:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:05 California Crossing.aif
Wiz Kid	Fu Manchu	Fu Manchu	                            California Crossing						                                            Stonerrock	40891671	231	    1	        1	                6	        11	                2001	03.01.18 18:34	03.01.18 18:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:06 Wiz Kid.aif
Squash That Fly 	Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	31220255	176	    1	        1	                7	        11	                2001	03.01.18 18:34	03.01.18 18:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:07 Squash That Fly.aif
Ampn'	            Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	38130421	215	    1	        1	                8	        11	                2001	03.01.18 18:34	03.01.18 18:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:08 Ampn'.aif
Bultaco	            Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	33906231	191	    1	        1	                9	        11	                2001	03.01.18 18:34	03.01.18 18:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:09 Bultaco.aif
Downtown In Dogtown	Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	35155158	198	    1	        1	                10	        11	                2001	03.01.18 18:34	03.01.18 18:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:10 Downtown In Dogtown.aif
The Wasteoid	    Fu Manchu	Fu Manchu	                California Crossing						                                            Stonerrock	41522015	235	    1	        1	                11	        11	                2001	03.01.18 18:34	03.01.18 18:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:California Crossing:11 The Wasteoid.aif
