Name	                                Künstler	                Komponist	                                            Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Intro	                                Gorillaz	                Jamie Hewlett/Damon Albarn/Don Harper	                Demon Days						                                        Indie Rock	11308992	63	    1	        1	                1	        15	                2005	07.01.18 13:10	07.01.18 12:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:01 Intro.aif
Last Living Souls	                    Gorillaz	                Damon Albarn/Jamie Hewlett	                            Demon Days						                                        Indie Rock	33754129	190	    1	        1	                2	        15	                2005	07.01.18 13:10	07.01.18 13:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:02 Last Living Souls.aif
O Green World	                        Gorillaz	                Jamie Hewlett/Brian Burton/Damon Albarn	                Demon Days						                                        Indie Rock	48141322	271	    1	        1	                4	        15	                2005	07.01.18 13:10	07.01.18 13:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:04 O Green World.aif
El Manana	                            Gorillaz	                Jamie Hewlett/Damon Albarn	                            Demon Days						                                        Indie Rock	40744265	230	    1	        1	                7	        15	                2005	07.01.18 13:10	07.01.18 13:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:07 El Manana.aif
Every Planet We Reach Is Dead	        Gorillaz	                Damon Albarn/Jamie Hewlett	                            Demon Days						                                        Indie Rock	51899821	293	    1	        1	                8	        15	                2005	07.01.18 13:10	07.01.18 13:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:08 Every Planet We Reach Is Dead.aif
White Light	                            Gorillaz	                Damon Albarn/Jamie Hewlett	                            Demon Days						                                        Indie Rock	22822030	128	    1	        1	                11	        15	                2005	07.01.18 13:10	07.01.18 13:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:11 White Light.aif
Fire Coming Out Of The Monkey's Head	Gorillaz	                Jamie Hewlett/Damon Albarn	                            Demon Days						                                        Indie Rock	34817255	196	    1	        1	                13	        15	                2005	07.01.18 13:10	07.01.18 13:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:13 Fire Coming Out Of The Monkey's Head.aif
Don't Get Lost In Heaven	            Gorillaz	                Damon Albarn/Jamie Hewlett	                            Demon Days						                                        Indie Rock	21401435	120	    1	        1	                14	        15	                2005	07.01.18 13:10	07.01.18 13:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:14 Don't Get Lost In Heaven.aif
Demon Days	                            Gorillaz	                Jamie Hewlett/Damon Albarn	                            Demon Days						                                        Indie Rock	47600349	268	    1	        1	                15	        15	                2005	07.01.18 13:10	07.01.18 13:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:15 Demon Days.aif
Dirty Harry	                            Gorillaz Feat. Bootie Brown	Brian Burton/Romye Robinson/Damon Albarn/Jamie Hewlett	Demon Days						                                        Indie Rock	39645930	223	    1	        1	                5	        15	                2005	07.01.18 13:10	07.01.18 13:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Demon Days:05 Dirty Harry.aif
