Name	                Künstler	Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Burnout	                Green Day	Green Day	Dookie						                                            Punk	23092770	127	    1	        1	                1	        14	                1994	03.03.18 09:41	03.03.18 09:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:01 Burnout.aif
Having A Blast	        Green Day	Green Day	Dookie						                                            Punk	29643097	164	    1	        1	                2	        14	                1994	03.03.18 09:41	03.03.18 09:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:02 Having A Blast.aif
Chump	                Green Day	Green Day	Dookie						                                            Punk	31296544	174	    1	        1	                3	        14	                1994	03.03.18 09:41	03.03.18 09:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:03 Chump.aif
Longview	            Green Day	Green Day	Dookie						                                            Punk	42771955	239	    1	        1	                4	        14	                1994	03.03.18 09:41	03.03.18 09:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:04 Longview.aif
Welcome To Paradise	    Green Day	Green Day	Dookie						                                            Punk	40222398	224	    1	        1	                5	        14	                1994	03.03.18 09:41	03.03.18 09:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:05 Welcome To Paradise.aif
Pulling Teeth	        Green Day	Green Day	Dookie						                                            Punk	27201720	150	    1	        1	                6	        14	                1994	03.03.18 09:41	03.03.18 09:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:06 Pulling Teeth.aif
Basket Case	            Green Day	Green Day	Dookie						                                            Punk	32907670	183	    1	        1	                7	        14	                1994	03.03.18 09:41	03.03.18 09:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:07 Basket Case.aif
She	Green Day	        Green Day	            Dookie						                                            Punk	24280526	134	    1	        1	                8	        14	                1994	03.03.18 09:41	03.03.18 09:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:08 She.aif
Sassafras Roots	        Green Day	Green Day	Dookie						                                            Punk	28401242	157	    1	        1	                9	        14	                1994	03.03.18 09:41	03.03.18 09:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:09 Sassafras Roots.aif
When I Come Around	    Green Day	Green Day	Dookie						                                            Punk	32025680	178	    1	        1	                10	        14	                1994	03.03.18 09:41	03.03.18 09:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:10 When I Come Around.aif
Coming Clean	        Green Day	Green Day	Dookie						                                            Punk	17335082	94	    1	        1	                11	        14	                1994	03.03.18 09:41	03.03.18 09:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:11 Coming Clean.aif
Emenius Sleepus	        Green Day	Green Day	Dookie						                                            Punk	18936797	103	    1	        1	                12	        14	                1994	03.03.18 09:41	03.03.18 09:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:12 Emenius Sleepus.aif
In The End	            Green Day	Green Day	Dookie						                                            Punk	19364856	106	    1	        1	                13	        14	                1994	03.03.18 09:41	03.03.18 09:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:13 In The End.aif
F.O.D./All By Myself	Green Day	Green Day	Dookie						                                            Punk	61783186	346	    1	        1	                14	        14	                1994	03.03.18 09:41	03.03.18 09:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:Dookie:14 F.O.D._All By Myself.aif
