Name	                                                                                                                    Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
American Idiot	                                                                                                            Green Day		        American Idiot						                                            Punk	30914350	174	    1	        1	                1	        13	                2004	03.03.18 09:59	03.03.18 09:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:01 American Idiot.aif
Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home	                    Green Day		        American Idiot						                                            Punk	96876277	548	    1	        1	                2	        13	                2004	03.03.18 09:59	03.03.18 09:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:02 Jesus Of Suburbia _ City Of The Damned _ I Don't Care _ Dearly Beloved _ Tales Of Another Broken Home.aif
Holiday	                                                                                                                    Green Day		        American Idiot						                                            Punk	41201991	232	    1	        1	                3	        13	                2004	03.03.18 09:59	03.03.18 09:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:03 Holiday.aif
Boulevard Of Broken Dreams	                                                                                                Green Day		        American Idiot						                                            Punk	46162378	260	    1	        1	                4	        13	                2004	03.03.18 09:59	03.03.18 09:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:04 Boulevard Of Broken Dreams.aif
Are We The Waiting	                                                                                                        Green Day		        American Idiot						                                            Punk	28903394	162	    1	        1	                5	        13	                2004	03.03.18 09:59	03.03.18 09:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:05 Are We The Waiting.aif
St. Jimmy	                                                                                                                Green Day		        American Idiot						                                            Punk	31074281	175	    1	        1	                6	        13	                2004	03.03.18 09:59	03.03.18 09:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:06 St. Jimmy.aif
Give Me Novacaine	                                                                                                        Green Day		        American Idiot						                                            Punk	36462721	205	    1	        1	                7	        13	                2004	03.03.18 09:59	03.03.18 09:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:07 Give Me Novacaine.aif
She's A Rebel	                                                                                                            Green Day		        American Idiot						                                            Punk	21407565	120	    1	        1	                8	        13	                2004	03.03.18 09:59	03.03.18 09:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:08 She's A Rebel.aif
Extraordinary Girl	                                                                                                        Green Day		        American Idiot						                                            Punk	37902146	213	    1	        1	                9	        13	                2004	03.03.18 09:59	03.03.18 09:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:09 Extraordinary Girl.aif
Letterbomb	                                                                                                                Green Day		        American Idiot						                                            Punk	43570461	246	    1	        1	                10	        13	                2004	03.03.18 09:59	03.03.18 09:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:10 Letterbomb.aif
Wake Me Up When September Ends	                                                                                            Green Day		        American Idiot						                                            Punk	50553569	285	    1	        1	                11	        13	                2004	03.03.18 09:59	03.03.18 09:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:11 Wake Me Up When September Ends.aif
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	Green Day		        American Idiot						                                            Punk	98687342	558	    1	        1	                12	        13	                2004	03.03.18 09:59	03.03.18 09:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:12 Homecoming _ The Death Of St. Jimmy _ East 12th St. _ Nobody Likes You _ Rock And Roll Girlfriend _ We're Coming Home Again.aif
Whatsername	                                                                                                                Green Day		        American Idiot						                                            Punk	44654734	252	    1	        1	                13	        13	                2004	03.03.18 09:59	03.03.18 09:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Green Day:American Idiot:13 Whatsername.aif
