Name	                    Künstler	    Komponist	                                                                                Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Civil War	                Guns N' Roses	W. Axl Rose/Jeffrey Isbell/Michael McKagan/Saul Hudson	                                    Use Your Illusion II						                                            Rock	81650385	462	    2	        2	                1	        14	                1991	03.03.18 08:56	03.03.18 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-01 Civil War 1.aif
14 Years	                Guns N' Roses	W. Axl Rose/Duff McKagan/Izzy Stradlin/Slash	                                            Use Your Illusion II						                                            Rock	46170454	261	    2	        2	                2	        14	                1991	03.03.18 08:56	03.03.18 08:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-02 14 Years 1.aif
Yesterdays	                Guns N' Roses	Michael McKagan/Del James/W. Axl Rose/Saul Hudson/Billy McCloud/West Arkeen/Jeffrey Isbell	Use Your Illusion II						                                            Rock	34685686	196	    2	        2	                3	        14	                1991	03.03.18 08:56	03.03.18 08:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-03 Yesterdays 1.aif
Knockin' On Heaven's Door	Guns N' Roses	Bob Dylan	                                                                                Use Your Illusion II						                                            Rock	59348692	336	    2	        2	                4	        14	                1991	03.03.18 08:56	03.03.18 08:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-04 Knockin' On Heaven's Door 1.aif
Get In The Ring	            Guns N' Roses	Slash/W. Axl Rose/Izzy Stradlin/Duff McKagan	                                            Use Your Illusion II						                                            Rock	60270701	341	    2	        2	                5	        14	                1991	03.03.18 08:56	03.03.18 08:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-05 Get In The Ring 1.aif
Shotgun Blues	            Guns N' Roses	Duff McKagan/Izzy Stradlin/Slash/W. Axl Rose	                                            Use Your Illusion II						                                            Rock	35880459	203	    2	        2	                6	        14	                1991	03.03.18 08:56	03.03.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-06 Shotgun Blues 1.aif
Breakdown	                Guns N' Roses	W. Axl Rose/Duff McKagan/Izzy Stradlin/Slash	                                            Use Your Illusion II						                                            Rock	74951879	424	    2	        2	                7	        14	                1991	03.03.18 08:56	03.03.18 08:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-07 Breakdown 1.aif
Pretty Tied Up	            Guns N' Roses	Darren Reed/Matt Sorum/Slash/W. Axl Rose/Duff McKagan/Izzy Stradlin	                        Use Your Illusion II						                                            Rock	50862723	287	    2	        2	                8	        14	                1991	03.03.18 08:56	03.03.18 08:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-08 Pretty Tied Up 1.aif
Locomotive	                Guns N' Roses	Duff McKagan/Slash/W. Axl Rose/Izzy Stradlin	                                            Use Your Illusion II						                                            Rock	92170872	522	    2	        2	                9	        14	                1991	03.03.18 08:56	03.03.18 08:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-09 Locomotive 1.aif
So Fine	                    Guns N' Roses	Izzy Stradlin/Slash/Duff McKagan/W. Axl Rose	                                            Use Your Illusion II						                                            Rock	43524454	246	    2	        2	                10	        14	                1991	03.03.18 08:56	03.03.18 08:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-10 So Fine 1.aif
Estranged	                Guns N' Roses	W. Axl Rose/Matt Sorum/Slash/Darren Reed/Duff McKagan/Izzy Stradlin	                        Use Your Illusion II						                                            Rock	75746879	429	    2	        2	                11	        14	                1991	03.03.18 08:56	03.03.18 08:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:.Trash:2-11 Estranged 1.aif
You Could Be Mine	        Guns N' Roses	Saul Hudson/Michael McKagan/W. Axl Rose/Jeffrey Isbell	                                    Use Your Illusion II						                                            Rock	71274		        2	        2	                12	        14	                1991	03.03.18 08:56	03.03.18 08:53												                                                                                                                                Macintosh HD:Users:stefan:.Trash:2-12 You Could Be Mine 1.aif
Don't Cry	                Guns N' Roses	W. Axl Rose/Slash/Duff McKagan/Izzy Stradlin	                                            Use Your Illusion II						                                            Rock	71256		        2	        2	                13	        14	                1991	03.03.18 08:56	03.03.18 08:53												                                                                                                                                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion II:2-13 Don't Cry.aif
My World	                Guns N' Roses	Duff McKagan/W. Axl Rose/Slash/Izzy Stradlin	                                            Use Your Illusion II						                                            Rock	71255		        2	        2	                14	        14	                1991	03.03.18 08:56	03.03.18 08:53												                                                                                                                                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion II:2-14 My World.aif
