Name	                                Künstler	    Komponist	                                    Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Since I Don't Have You	                Guns N' Roses	Joseph Verscharen/James L. Beaumont/Joseph Rock	The Spaghetti Incident?						                                            Rock	45913924	259	    1	        1	                1	        12	                1993	03.03 18,09:12	03.03.18 08:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:01 Since I Don't Have You.aif
New Rose	                            Guns N' Roses	Brian James	                                    The Spaghetti Incident?						                                            Rock	28001042	158	    1	        1	                2	        12	                1993	03.03 18,09:12	03.03.18 08:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:02 New Rose.aif
Down On The Farm	                    Guns N' Roses	Alvin Gibbs/Nicholas Garrett	                The Spaghetti Incident?						                                            Rock	36846939	208	    1	        1	                3	        12	                1993	03.03 18,09:12	03.03.18 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:03 Down On The Farm.aif
Human Being	                            Guns N' Roses	Johnny Thunders	                                The Spaghetti Incident?						                                            Rock	72096345	408	    1	        1	                4	        12	                1993	03.03 18,09:12	03.03.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:04 Human Being.aif
Raw Power	                            Guns N' Roses		                                            The Spaghetti Incident?						                                            Rock	33904544	191	    1	        1	                5	        12	                1993	03.03 18,09:12	03.03.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:05 Raw Power.aif
Ain't It Fun	                        Guns N' Roses		                                            The Spaghetti Incident?						                                            Rock	54009443	305	    1	        1	                6	        12	                1993	03.03 18,09:12	03.03.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:06 Ain't It Fun.aif
Buick Mackane (Big Dumb Sex)	        Guns N' Roses	Marc Bolan	                                    The Spaghetti Incident?						                                            Rock	28255077	159	    1	        1	                7	        12	                1993	03.03 18,09:12	03.03.18 09:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:07 Buick Mackane (Big Dumb Sex).aif
Hair Of The Dog	                        Guns N' Roses	Dan McCafferty	                                The Spaghetti Incident?						                                            Rock	41503884	234	    1	        1	                8	        12	                1993	03.03 18,09:12	03.03.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:08 Hair Of The Dog.aif
Attitude	                            Guns N' Roses		                                            The Spaghetti Incident?						                                            Rock	15413119	87	    1	        1	                9	        12	                1993	03.03 18,09:12	03.03.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:09 Attitude.aif
Black Leather	                        Guns N' Roses	Steve Jones	                                    The Spaghetti Incident?						                                            Rock	43900568	248	    1	        1	                10	        12	                1993	03.03 18,09:12	03.03.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:10 Black Leather.aif
You Can't Put Your Arms Around A Memory	Guns N' Roses		                                            The Spaghetti Incident?						                                            Rock	38004111	215	    1	        1	                11	        12	                1993	03.03 18,09:12	03.03.18 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:11 You Can't Put Your Arms Around A Memory.aif
I Don't Care About You	                Guns N' Roses		                                            The Spaghetti Incident?						                                            Rock	51488110	291	    1	        1	                12	        12	                1993	03.03 18,09:12	03.03.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:The Spaghetti Incident_:12 I Don't Care About You.aif
