Name	                Künstler	Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
What Do You Live For	Gurd		            D-Fect						                                            Rock	50734296	287			                            1	        13		                    03.03.18 10:11	03.03.18 10:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:01 What Do You Live For.aif
No Sleep	            Gurd		            D-Fect						                                            Rock	33893964	192			                            2	        13		                    03.03.18 10:11	03.03.18 10:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:02 No Sleep.aif
We've Been Told	        Gurd		            D-Fect						                                            Rock	36751651	208			                            3	        13		                    03.03.18 10:11	03.03.18 10:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:03 We've Been Told.aif
Fever Of Pain	        Gurd		            D-Fect						                                            Rock	35109953	198			                            4	        13		                    03.03.18 10:11	03.03.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:04 Fever Of Pain.aif
Bullshit	            Gurd		            D-Fect						                                            Rock	33047244	187			                            5	        13		                    03.03.18 10:11	03.03.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:05 Bullshit.aif
Human Existance	        Gurd		            D-Fect						                                            Rock	37386691	211			                            6	        13		                    03.03.18 10:11	03.03.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:06 Human Existance.aif
Go-Go-Go	            Gurd		            D-Fect						                                            Rock	30537660	172			                            7	        13		                    03.03.18 10:11	03.03.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:07 Go-Go-Go.aif
Look Away	            Gurd		            D-Fect						                                            Rock	48782125	276			                            8	        13		                    03.03.18 10:11	03.03.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:08 Look Away.aif
This Place	            Gurd		            D-Fect						                                            Rock	40926446	231			                            9	        13		                    03.03.18 10:11	03.03.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:09 This Place.aif
Read My Lips	        Gurd		            D-Fect						                                            Rock	37814755	214			                            10	        13		                    03.03.18 10:11	03.03.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:10 Read My Lips.aif
Think	                Gurd		            D-Fect						                                            Rock	34305564	194			                            11	        13		                    03.03.18 10:11	03.03.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:11 Think.aif
Heaven Sent	            Gurd		            D-Fect						                                            Rock	34959426	198			                            12	        13		                    03.03.18 10:11	03.03.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:12 Heaven Sent.aif
Lose Myself	            Gurd		            D-Fect						                                            Rock	41585010	235			                            13	        13		                    03.03.18 10:11	03.03.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:D-Fect:13 Lose Myself.aif
