Name	                    Künstler	Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Your Drug of Choice	        Gurd		            Your Drug of Choice						                                            Rock	44761119	253	    1	        1	                1	        13	                2009	03.03.18 10:21	03.03.18 10:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:01 Your Drug of Choice.aif
Seven Starz	                Gurd		            Your Drug of Choice						                                            Rock	60961687	345	    1	        1	                2	        13	                2009	03.03.18 10:21	03.03.18 10:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:02 Seven Starz.aif
Once for All	            Gurd		            Your Drug of Choice						                                            Rock	49679144	281	    1	        1	                3	        13	                2009	03.03.18 10:21	03.03.18 10:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:03 Once for All.aif
Colony Collapse Disorder	Gurd		            Your Drug of Choice						                                            Rock	37881524	214	    1	        1	                4	        13	                2009	03.03.18 10:21	03.03.18 10:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:04 Colony Collapse Disorder.aif
Beneath the Sea	            Gurd		            Your Drug of Choice						                                            Rock	50594075	286	    1	        1	                5	        13	                2009	03.03.18 10:21	03.03.18 10:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:05 Beneath the Sea.aif
Madness Reigns	            Gurd		            Your Drug of Choice						                                            Rock	53237722	301	    1	        1	                6	        13	                2009	03.03.18 10:21	03.03.18 10:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:06 Madness Reigns.aif
Nothing to Lose	            Gurd		            Your Drug of Choice						                                            Rock	41898731	237	    1	        1	                7	        13	                2009	03.03.18 10:21	03.03.18 10:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:07 Nothing to Lose.aif
Sceptic	                    Gurd		            Your Drug of Choice						                                            Rock	43662723	247	    1	        1	                8	        13	                2009	03.03.18 10:21	03.03.18 10:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:08 Sceptic.aif
Refused	                    Gurd		            Your Drug of Choice						                                            Rock	36914835	208	    1	        1	                9	        13	                2009	03.03.18 10:21	03.03.18 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:09 Refused.aif
Stuck in a Box	            Gurd		            Your Drug of Choice						                                            Rock	38867005	219	    1	        1	                10	        13	                2009	03.03.18 10:21	03.03.18 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:10 Stuck in a Box.aif
Let Me Die in Dignity	    Gurd		            Your Drug of Choice						                                            Rock	36183380	204	    1	        1	                11	        13	                2009	03.03.18 10:21	03.03.18 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:11 Let Me Die in Dignity.aif
We Stand Up Today	        Gurd		            Your Drug of Choice						                                            Rock	48444352	274	    1	        1	                12	        13	                2009	03.03.18 10:21	03.03.18 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:12 We Stand Up Today.aif
Cold Gin	                Gurd		            Your Drug of Choice						                                            Rock	46315783	262	    1	        1	                13	        13	                2009	03.03.18 10:21	03.03.18 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Gurd:Your Drug of Choice:13 Cold Gin.aif
