Name	            Künstler	Komponist	                                            Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ortß∑
Wilma's Rainbow	    Helmet	    Page Hamilton	                                        Betty						                                            Punk	41450102	233	    1	        1	                1	        14	                1994	30.12.17 11:34	30.12.17 11:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:01 Wilma's Rainbow.aif
I Know	            Helmet	    Page Hamilton	                                        Betty						                                            Punk	39227453	221	    1	        1	                2	        14	                1994	30.12.17 11:34	30.12.17 11:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:02 I Know.aif
Biscuits For Smut	Helmet		                                                        Betty						                                            Punk	30819043	173	    1	        1	                3	        14	                1994	30.12.17 11:34	30.12.17 11:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:03 Biscuits For Smut.aif
Milquetoast	        Helmet	    Page Hamilton	                                        Betty						                                            Punk	41473618	233	    1	        1	                4	        14	                1994	30.12.17 11:34	30.12.17 11:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:04 Milquetoast.aif
Tic	Helmet	        Helmet	                                                            Betty						                                            Punk	39098083	220	    1	        1	                5	        14	                1994	30.12.17 11:34	30.12.17 11:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:05 Tic.aif
Rollo	            Helmet	    Henry Bogdan/Page Hamilton	                            Betty						                                            Punk	28078985	158	    1	        1	                6	        14	                1994	30.12.17 11:34	30.12.17 11:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:06 Rollo.aif
Street Crab	Helmet	Helmet	                                                            Betty						                                            Punk	37588107	211	    1	        1	                7	        14	                1994	30.12.17 11:34	30.12.17 11:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:07 Street Crab.aif
Clean	            Helmet	    Page Hamilton/Helmet	                                Betty						                                            Punk	26025683	146	    1	        1	                8	        14	                1994	30.12.17 11:34	30.12.17 11:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:08 Clean.aif
Vaccination	        Helmet	    Helmet	                                                Betty						                                            Punk	32677131	184	    1	        1	                9	        14	                1994	30.12.17 11:34	30.12.17 11:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:09 Vaccination.aif
Beautiful Love	    Helmet	Wayne King/Victor Young/Heaven Gillespie/Egbert Van Alstyne	Betty						                                            Punk	21963830	123	    1	        1	                10	        14	                1994	30.12.17 11:34	30.12.17 11:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:10 Beautiful Love.aif
Speechless	        Helmet	Page Hamilton	                                            Betty						                                            Punk	31771620	178	    1	        1	                11	        14	                1994	30.12.17 11:34	30.12.17 11:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:11 Speechless.aif
The Silver Hawaiian	Helmet	Henry Bogdan/Page Hamilton	                                Betty						                                            Punk	22794058	128	    1	        1	                12	        14	                1994	30.12.17 11:34	30.12.17 11:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:12 The Silver Hawaiian.aif
Overrated	        Helmet	Page Hamilton	                                            Betty						                                            Punk	28483523	160	    1	        1	                13	        14	                1994	30.12.17 11:34	30.12.17 11:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:13 Overrated.aif
Sam Hell	        Helmet	Helmet	                                                    Betty						                                            Punk	23029227	129	    1	        1	                14	        14	                1994	30.12.17 11:34	30.12.17 11:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Betty:14 Sam Hell.aif
