Name	                Künstler	Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Life Or Death	        Helmet		            Dead To The World						                                            Punk	32685675	182	    1	        1	                1	        11	                2016	30.12.17 11:49	30.12.17 11:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:01 Life Or Death.aif
I ♥ My Guru	            Helmet		            Dead To The World						                                            Punk	30662967	171	    1	        1	                2	        11	                2016	30.12.17 11:49	30.12.17 11:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:02 I ♥ My Guru.aif
Bad News	            Helmet		            Dead To The World						                                            Punk	28028710	156	    1	        1	                3	        11	                2016	30.12.17 11:49	30.12.17 11:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:03 Bad News.aif
Red Scare	            Helmet		            Dead To The World						                                            Punk	35550407	199	    1	        1	                4	        11	                2016	30.12.17 11:49	30.12.17 11:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:04 Red Scare.aif
Dead To The World	    Helmet		            Dead To The World						                                            Punk	37885951	212	    1	        1	                5	        11	                2016	30.12.17 11:49	30.12.17 11:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:05 Dead To The World.aif
Green Shirt	            Helmet		            Dead To The World						                                            Punk	32650393	182	    1	        1	                6	        11	                2016	30.12.17 11:49	30.12.17 11:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:06 Green Shirt.aif
Expect The World	    Helmet		            Dead To The World						                                            Punk	44019966	247	    1	        1	                7	        11	                2016	30.12.17 11:49	30.12.17 11:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:07 Expect The World.aif
Die Alone	            Helmet		            Dead To The World						                                            Punk	28710791	160	    1	        1	                8	        11	                2016	30.12.17 11:49	30.12.17 11:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:08 Die Alone.aif
Drunk In The Afternoon	Helmet		            Dead To The World						                                            Punk	46611876	261	    1	        1	                9	        11	                2016	30.12.17 11:49	30.12.17 11:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:09 Drunk In The Afternoon.aif
Look Alive	            Helmet		            Dead To The World						                                            Punk	44678523	250	    1	        1	                10	        11	                2016	30.12.17 11:49	30.12.17 11:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:10 Look Alive.aif
Life Or Death (Slow)	Helmet		            Dead To The World						                                            Punk	34492021	193	    1	        1	                11	        11	                2016	30.12.17 11:49	30.12.17 11:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Dead To The World:11 Life Or Death (Slow).aif
