Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
L'école Du Micro D'argent,IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,41097238,232,1,1,1,16,1997,"26.12.17, 08:30","26.12.17, 08:18",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:01 L'école Du Micro D'argent.aif
Nés Sous La Méme Étoile,IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,40528050,229,1,1,3,16,1997,"26.12.17, 08:30","26.12.17, 08:20",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:03 Nés Sous La Méme Étoile.aif
Petit Frère,IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,50206506,284,1,1,5,16,1997,"26.12.17, 08:30","26.12.17, 08:21",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:05 Petit Frère.aif
Elle Donne Son Corps Avant Son Nom,IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,44474691,251,1,1,6,16,1997,"26.12.17, 08:30","26.12.17, 08:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:06 Elle Donne Son Corps Avant Son Nom.aif
Empire Du Côté Obscur,IAM,DJ Khéops,L'école Du Micro D'argent,,,,,,Rap,46243416,261,1,1,7,16,1997,"26.12.17, 08:30","26.12.17, 08:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:07 Empire Du Côté Obscur.aif
Regarde,IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,41680488,235,1,1,8,16,1997,"26.12.17, 08:30","26.12.17, 08:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:08 Regarde.aif
"Quand Tu Allais, On Revenait",IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,50841550,287,1,1,10,16,1997,"26.12.17, 08:30","26.12.17, 08:24",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:10 Quand Tu Allais, On Revenait.aif"
Un Bon Son Brut Pour Les Truands,IAM,DJ Khéops,L'école Du Micro D'argent,,,,,,Rap,40499820,229,1,1,12,16,1997,"26.12.17, 08:30","26.12.17, 08:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:12 Un Bon Son Brut Pour Les Truands.aif
Bouger La Tête,IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,50006593,283,1,1,13,16,1997,"26.12.17, 08:30","26.12.17, 08:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:13 Bouger La Tête.aif
Libère Mon Imagination,IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,42162689,238,1,1,15,16,1997,"26.12.17, 08:30","26.12.17, 08:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:15 Libère Mon Imagination.aif
"Demain, C'est Loin",IAM,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,95411940,540,1,1,16,16,1997,"26.12.17, 08:30","26.12.17, 08:28",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:16 Demain, C'est Loin.aif"
Dangereux,IAM Feat. Bruizza & Rahzel,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,39822433,225,1,1,2,16,1997,"26.12.17, 08:30","26.12.17, 08:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:02 Dangereux.aif
Un Cri Cours Dans La Nuit,IAM Feat. Daddy Nuttea,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,41414750,234,1,1,14,16,1997,"26.12.17, 08:30","26.12.17, 08:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:14 Un Cri Cours Dans La Nuit.aif
L'enfer,IAM Feat. East & Fabe,DJ Khéops,L'école Du Micro D'argent,,,,,,Rap,51441316,291,1,1,9,16,1997,"26.12.17, 08:30","26.12.17, 08:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:09 L'enfer.aif
Chez Le Mac,IAM Feat. Nalini,IAM/Imhotep,L'école Du Micro D'argent,,,,,,Rap,49823130,282,1,1,11,16,1997,"26.12.17, 08:30","26.12.17, 08:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:11 Chez Le Mac.aif
La Saga,IAM Feat. Sunz Of Man,DJ Khéops,L'école Du Micro D'argent,,,,,,Rap,42797716,242,1,1,4,16,1997,"26.12.17, 08:30","26.12.17, 08:20",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:L'école Du Micro D'argent:04 La Saga.aif
