Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
"Shut Up, Be Happy",Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,27607337,156,1,1,1,13,1989,"31.03.18, 14:52","31.03.18, 14:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:01 Shut Up, Be Happy.aif"
The Iceberg,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,46277507,261,1,1,2,13,1989,"31.03.18, 14:52","31.03.18, 14:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:02 The Iceberg.aif
Lethal Weapon,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,48391957,273,1,1,3,13,1989,"31.03.18, 14:52","31.03.18, 14:37",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:03 Lethal Weapon.aif
You Played Yourself,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,45023899,254,1,1,4,13,1989,"31.03.18, 14:52","31.03.18, 14:38",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:04 You Played Yourself.aif
Peel Their Caps Back,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,39249740,222,1,1,5,13,1989,"31.03.18, 14:52","31.03.18, 14:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:05 Peel Their Caps Back.aif
The Girl Tried To Kill Me,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,43866721,248,1,1,6,13,1989,"31.03.18, 14:52","31.03.18, 14:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:06 The Girl Tried To Kill Me.aif
Black 'n' Decker,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,13612936,76,1,1,7,13,1989,"31.03.18, 14:52","31.03.18, 14:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:07 Black 'n' Decker.aif
Hit The Deck,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,39978852,226,1,1,8,13,1989,"31.03.18, 14:52","31.03.18, 14:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:08 Hit The Deck.aif
This One's For Me,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,48333161,273,1,1,9,13,1989,"31.03.18, 14:52","31.03.18, 14:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:09 This One's For Me.aif
The Hunted Child,Ice-T,"Ice-T (Tracy Marrow, 1958-)",The Iceberg: Freedom Of Speech... Just Watch What You Say,,,,,,Rap,47199499,267,1,1,10,13,1989,"31.03.18, 14:52","31.03.18, 14:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:The Iceberg_ Freedom Of Speech... Just Watch What You Say:10 The Hunted Child.aif
