Name	                                        Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
6 'N The Mornin'	                            Ice-T		            Greatest Hits						                                            Rap	    77244459	433	    1	    1	                    1	        15	                2014	03.01.18 10:29	03.01.18 10:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:01 6 'N The Mornin'.aif
Make It Funky	                                Ice-T		            Greatest Hits						                                            Rap	    55770696	312	    1	    1	                    2	        15	                2014	03.01.18 10:29	03.01.18 10:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:02 Make It Funky.aif
Somebody Gotta Do It (Pimpin' Ain't Easy!!!)	Ice-T		            Greatest Hits						                                            Rap	    33363223	185	    1	    1	                    3	        15	                2014	03.01.18 10:29	03.01.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:03 Somebody Gotta Do It (Pimpin' Ain't Easy!!!).aif
I'm Your Pusher	                                Ice-T		            Greatest Hits						                                            Rap	    59957258	335	    1	    1	                    4	        15	                2014	03.01.18 10:29	03.01.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:04 I'm Your Pusher.aif
High Rollers	                                Ice-T		            Greatest Hits						                                            Rap	    50005943	279	    1	    1	                    5	        15	                2014	03.01.18 10:29	03.01.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:05 High Rollers.aif
Power	                                        Ice-T		            Greatest Hits						                                            Rap	    47980864	267	    1	    1	                    6	        15	                2014	03.01.18 10:29	03.01.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:06 Power.aif
Lethal Weapon	                                Ice-T		            Greatest Hits						                                            Rap	    49483800	276	    1	    1	                    7	        15	                2014	03.01.18 10:29	03.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:07 Lethal Weapon.aif
The Girl Tried To Kill Me	                    Ice-T		            Greatest Hits						                                            Rap	    44890356	250	    1	    1	                    8	        15	                2014	03.01.18 10:29	03.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:08 The Girl Tried To Kill Me.aif
You Played Yourself	                            Ice-T		            Greatest Hits						                                            Rap	    46127502	257	    1	    1	                    9	        15	                2014	03.01.18 10:29	03.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:09 You Played Yourself.aif
O.G. Original Gangster	                        Ice-T		            Greatest Hits						                                            Rap	    53954962	301	    1	    1	                    10	        15	                2014	03.01.18 10:29	03.01.18 10:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:10 O.G. Original Gangster.aif
Mind Over Matter	                            Ice-T		            Greatest Hits						                                            Rap	    45353692	253	    1	    1	                    11	        15	                2014	03.01.18 10:29	03.01.18 10:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:11 Mind Over Matter.aif
Body Count      	                            Ice-T		            Greatest Hits						                                            Rap	    65978374	369	    1	    1	                    12	        15	                2014	03.01.18 10:29	03.01.18 10:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:12 Body Count.aif
New Jack Hustler (Nino's Theme)	                Ice-T		            Greatest Hits						                                            Rap	    51000859	285	    1	    1	                    13	        15	                2014	03.01.18 10:29	03.01.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:13 New Jack Hustler (Nino's Theme).aif
Colors	                                        Ice-T		            Greatest Hits						                                            Rap	    47644530	266	    1	    1	                    14	        15	                2014	03.01.18 10:29	03.01.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:14 Colors.aif
Ricochet	                                    Ice-T		            Greatest Hits						                                            Rap	    53947892	301	    1	    1	                    15	        15	                2014	03.01.18 10:29	03.01.18 10:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ice-T:Greatest Hits:15 Ricochet.aif
