Name	                                Künstler	    Komponist	    Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Boom Boom	                            John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	45722614	258	    1	        1	                1	        10	                1992	04.01.18 09:00	04.01.18,08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:01 Boom Boom.aif
I'm Bad Like Jesse James	            John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	23851381	134	    1	        1	                2	        10	                1992	04.01.18 09:00	04.01.18,08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:02 I'm Bad Like Jesse James.aif
Same Old Blues Again	                John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	66050961	374	    1	        1	                3	        10	                1992	04.01.18 09:00	04.01.18,08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:03 Same Old Blues Again.aif
Sugar Mama	                            John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	43499975	246	    1	        1	                4	        10	                1992	04.01.18 09:00	04.01.18,08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:04 Sugar Mama.aif
Trick Bag (Shoppin' For My Tombstone)	John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	49335314	279	    1	        1	                5	        10	                1992	04.01.18 09:00	04.01.18,08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:05 Trick Bag (Shoppin' For My Tombstone).aif
Boogie At Russian Hill	                John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	48693203	275	    1	        1	                6	        10	                1992	04.01.18 09:00	04.01.18,08:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:06 Boogie At Russian Hill.aif
Hittin' The Bottle Again	            John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	25337845	143	    1	        1	                7	        10	                1992	04.01.18 09:00	04.01.18,08:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:07 Hittin' The Bottle Again.aif
Bottle Up And Go	                    John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	29594957	167	    1	        1	                8	        10	                1992	04.01.18 09:00	04.01.18,08:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:08 Bottle Up And Go.aif
Thought I Heard	                        John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	48733180	275	    1	        1	                9	        10	                1992	04.01.18 09:00	04.01.18,08:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:09 Thought I Heard.aif
I Ain't Gonna Suffer No More	        John Lee Hooker	John Lee Hooker	Boom Boom						                                            Blues	68057226	385	    1	        1	                10	        10	                1992	04.01.18 09:00	04.01.18,08:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Lee Hooker:Boom Boom:10 I Ain't Gonna Suffer No More.aif
