Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
My Treasure,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,13699584,77,1,1,1,15,1954,"26.12.17, 17:29","26.12.17, 16:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:01 My Treasure.aif
Hey Porter,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,23526239,133,1,1,2,15,1954,"26.12.17, 17:29","26.12.17, 16:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:02 Hey Porter.aif
"Cry, Cry, Cry",Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,25897058,146,1,1,3,15,1954,"26.12.17, 17:29","26.12.17, 16:54",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:03 Cry, Cry, Cry.aif"
Wide Open Road,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,27654003,156,1,1,4,15,1954,"26.12.17, 17:29","26.12.17, 16:54",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:04 Wide Open Road.aif
Folsom Prison Blues,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,29735528,168,1,1,5,15,1954,"26.12.17, 17:29","26.12.17, 16:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:05 Folsom Prison Blues.aif
Luther Played The Boogie,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,22035085,124,1,1,6,15,1954,"26.12.17, 17:29","26.12.17, 16:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:06 Luther Played The Boogie.aif
So Doggone Lonesome,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,27461144,155,1,1,7,15,1954,"26.12.17, 17:29","26.12.17, 16:56",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:07 So Doggone Lonesome.aif
Mean Eyed Cat,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,26480354,149,1,1,8,15,1954,"26.12.17, 17:29","26.12.17, 16:56",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:08 Mean Eyed Cat.aif
I Walk The Line,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,28985236,164,1,1,9,15,1954,"26.12.17, 17:29","26.12.17, 16:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:09 I Walk The Line.aif
Get Rhythm,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,23770848,134,1,1,10,15,1954,"26.12.17, 17:29","26.12.17, 16:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:10 Get Rhythm.aif
Train Of Love,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,25259667,143,1,1,11,15,1954,"26.12.17, 17:29","26.12.17, 16:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:11 Train Of Love.aif
There You Go,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,24302402,137,1,1,12,15,1954,"26.12.17, 17:29","26.12.17, 16:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:12 There You Go.aif
Goodbye Little Darling,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,24088380,136,1,1,13,15,1954,"26.12.17, 17:29","26.12.17, 16:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:13 Goodbye Little Darling.aif
I Love You Because,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,26101688,147,1,1,14,15,1954,"26.12.17, 17:29","26.12.17, 16:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:14 I Love You Because.aif
Straight A's In Love,Johnny Cash,,The Intro collection-[Disc 1],,,,,,Country & Folk,23984890,135,1,1,15,15,1954,"26.12.17, 17:29","26.12.17, 16:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro collection-[Disc 1]:15 Straight A's In Love.aif
