Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Guess Things Happen That Way,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,19429062,109,1,1,1,15,1958,"26.12.17, 17:45","26.12.17, 17:42",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:01 Guess Things Happen That Way.aif"
Oh Lonesome Me,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,26614408,150,1,1,2,15,1958,"26.12.17, 17:45","26.12.17, 17:42",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:02 Oh Lonesome Me.aif"
You're The Nearest Thing To Heaven,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,28496028,161,1,1,3,15,1958,"26.12.17, 17:45","26.12.17, 17:42",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:03 You're The Nearest Thing To Heaven.aif"
Born To Lose,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,22938230,129,1,1,4,15,1958,"26.12.17, 17:45","26.12.17, 17:43",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:04 Born To Lose.aif"
Always Alone,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,19457270,110,1,1,5,15,1958,"26.12.17, 17:45","26.12.17, 17:43",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:05 Always Alone.aif"
You Win Again,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,24177735,136,1,1,6,15,1959,"26.12.17, 17:45","26.12.17, 17:43",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:06 You Win Again.aif"
I Could Never Be Ashamed Of You,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,23697945,134,1,1,7,15,1958,"26.12.17, 17:45","26.12.17, 17:43",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:07 I Could Never Be Ashamed Of You.aif"
Hey Good Lookin',Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,18102522,102,1,1,8,15,1958,"26.12.17, 17:45","26.12.17, 17:43",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:08 Hey Good Lookin'.aif"
I Can't Help It,Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,18728153,105,1,1,9,15,1958,"26.12.17, 17:45","26.12.17, 17:44",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:09 I Can't Help It.aif"
"Cold, Cold Heart",Johnny Cash,,"CD3.COLD, COLD HEART",,,,,,Country & Folk,24697533,139,1,1,10,15,1958,"26.12.17, 17:45","26.12.17, 17:44",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:CD3.COLD, COLD HEART:10 Cold, Cold Heart.aif"
