Name	                            Künstler	Komponist	                Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	        Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Help Me	                            Johnny Cash	Larry Gatlin	            American V: A Hundred Highways						                                            Country & Folk	30621121	171	    1	        1	                1	        12	                2006	26.12.17 17:53	26.12.17 17:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:01 Help Me.aif
God's Gonna Cut You Down	        Johnny Cash	Traditional	                American V: A Hundred Highways						                                            Country & Folk	28323233	158	    1	        1	                2	        12	                2006	26.12.17 17:53	26.12.17 17:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:02 God's Gonna Cut You Down.aif
Like The 309	                    Johnny Cash	Johnny Cash	                American V: A Hundred Highways						                                            Country & Folk	48844421	275	    1	        1	                3	        12	                2006	26.12.17 17:53	26.12.17 17:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:03 Like The 309.aif
If You Could Read My Mind	        Johnny Cash	Gordon Lightfoot	        American V: A Hundred Highways						                                            Country & Folk	47962439	270	    1	        1	                4	        12	                2006	26.12.17 17:53	26.12.17 17:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:04 If You Could Read My Mind.aif
Further On (Up The Road)	        Johnny Cash	Bruce Springsteen	        American V: A Hundred Highways						                                            Country & Folk	36494087	204	    1	        1	                5	        12	                2006	26.12.17 17:53	26.12.17 17:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:05 Further On (Up The Road).aif
On The Evening Train	            Johnny Cash	Hank Williams	            American V: A Hundred Highways						                                            Country & Folk	45758607	257	    1	        1	                6	        12	                2006	26.12.17 17:53	26.12.17 17:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:06 On The Evening Train.aif
I Came To Believe	                Johnny Cash	Johnny Cash	                American V: A Hundred Highways						                                            Country & Folk	39996202	224	    1	        1	                7	        12	                2006	26.12.17 17:53	26.12.17 17:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:07 I Came To Believe.aif
Love's Been Good To Me	            Johnny Cash	Rod McKuen	                American V: A Hundred Highways						                                            Country & Folk	35343950	198	    1	        1	                8	        12	                2006	26.12.17 17:53	26.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:08 Love's Been Good To Me.aif
A Legend In My Time	                Johnny Cash	Don Gibson	                American V: A Hundred Highways						                                            Country & Folk	28036283	157	    1	        1	                9	        12	                2006	26.12.17 17:53	26.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:09 A Legend In My Time.aif
Rose Of My Heart	                Johnny Cash	Hugh Moffatt	            American V: A Hundred Highways						                                            Country & Folk	35308669	198	    1	        1	                10	        12	                2006	26.12.17 17:53	26.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:10 Rose Of My Heart.aif
Four Strong Winds	                Johnny Cash	Ian Tyson	                American V: A Hundred Highways						                                            Country & Folk	48825611	274	    1	        1	                11	        12	                2006	26.12.17 17:53	26.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:11 Four Strong Winds.aif
I'm Free From The Chain Gang Now	Johnny Cash	Saul Klein/Louis Herscher	American V: A Hundred Highways						                                            Country & Folk	32180538	180	    1	        1	                12	        12	                2006	26.12.17 17:53	26.12.17 17:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:American V_ A Hundred Highways:12 I'm Free From The Chain Gang Now.aif
