Name	                                    Künstler	Komponist	                        Album	                                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Future In Computer Hell	                    Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	31437578	178	    1	        1	                1	        15	                1998	30.12.17 15:28	30.12.17 14:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):01 Future In Computer Hell.aif
Billy Club (Single Version)	                Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	33730782	191	    1	        1	                2	        15	                1998	30.12.17 15:28	30.12.17 14:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):02 Billy Club (Single Version).aif
Bustin Like This (Previously Unreleased)	Junkie XL	lyrics: Junkie XL; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	53457021	302	    1	        1	                3	        15	                1998	30.12.17 15:28	30.12.17 14:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):03 Bustin Like This (Previously Unreleased).aif
Melange	                                    Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	44098378	249	    1	        1	                4	        15	                1998	30.12.17 15:28	30.12.17 14:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):04 Melange.aif
Metrolike	                                Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	98516604	558	    1	        1	                5	        15	                1998	30.12.17 15:28	30.12.17 14:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):05 Metrolike.aif
X-Panding Limits	                        Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	34836211	197	    1	        1	                6	        15	                1998	30.12.17 15:28	30.12.17 14:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):06 X-Panding Limits.aif
War	                                        Junkie XL	lyrics: Junkie XL; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	29878184	169	    1	        1	                7	        15	                1998	30.12.17 15:28	30.12.17 14:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):07 War.aif
Saturday Teenage Kick (Single Version)	    Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	39787193	225	    1	        1	                8	        15	                1998	30.12.17 15:28	30.12.17 14:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):08 Saturday Teenage Kick (Single Version).aif
Dealing With The Roster [Live]	            Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	35141985	199	    1	        1	                9	        15	                1998	30.12.17 15:28	30.12.17 14:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):09 Dealing With The Roster [Live].aif
Fight (Live At Noorderslag)	                Junkie XL	lyrics: Junkie XL; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	62048865	351	    1	        1	                10	        15	                1998	30.12.17 15:28	30.12.17 14:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):10 Fight (Live At Noorderslag).aif
Def Beat	                                Junkie XL	lyrics: Junkie XL; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	49171646	278	    1	        1	                11	        15	                1998	30.12.17 15:28	30.12.17 15:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):11 Def Beat.aif
Underachievers	                            Junkie XL	lyrics: Rudeboy; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	47308866	267	    1	        1	                12	        15	                1998	30.12.17 15:28	30.12.17 15:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):12 Underachievers.aif
No Remorse	                                Junkie XL	lyrics: Junkie XL; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	65118208	368	    1	        1	                13	        15	                1998	30.12.17 15:28	30.12.17 15:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):13 No Remorse.aif
Mulu	                                    Junkie XL	lyrics: Junkie XL; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	103872106	588	    1	        1	                14	        15	                1998	30.12.17 15:28	30.12.17 15:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):14 Mulu.aif
100 (Previously Unreleased)	                Junkie XL	lyrics: Junkie XL; music: Junkie XL	Saturday Teenage Kick (Special Limited Edition)						                                            Electronica	40464561	229	    1	        1	                15	        15	                1998	30.12.17 15:28	30.12.17 15:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Junkie XL:Saturday Teenage Kick (Special Limited Edition):15 100 (Previously Unreleased).aif
