Name	                        Künstler	Komponist	Album	                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Intro	                        King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	4553396	    25	    1	        1	                1	        15	                2000	28.12.17 08:42	28.12.17 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:01 Intro.aif
Someone To Hate	                King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	46889406	265	    1	        1	                2	        15	                2000	28.12.17 08:43	28.12.17 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:02 Someone To Hate.aif
No Peace	                    King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	24639479	139	    1	        1	                3	        15	                2000	28.12.17 08:43	28.12.17 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:03 No Peace.aif
Day In Day Out	                King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	26008349	147	    1	        1	                4	        15	                2000	28.12.17 08:44	28.12.17 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:04 Day In Day Out.aif
London Born	                    King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	40252058	228	    1	        1	                5	        15	                2000	28.12.17 08:44	28.12.17 08:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:05 London Born.aif
Be Warned	                    King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	25874280	146	    1	        1	                6	        15	                2000	28.12.17 08:44	28.12.17 08:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:06 Be Warned.aif
The Postman Song	            King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	2429551	    13	    1	        1	                7	        15	                2000	28.12.17 08:45	28.12.17 08:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:07 The Postman Song.aif
Your Worst Enemy	            King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	47547967	269	    1	        1	                8	        15	                2000	28.12.17 08:45	28.12.17 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:08 Your Worst Enemy.aif
American Funded Genocide	    King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	15960615	90	    1	        1	                9	        15	                2000	28.12.17 08:45	28.12.17 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:09 American Funded Genocide.aif
Amuse The Young & Amaze The Old	King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	28873103	163	    1	        1	                10	        15	                2000	28.12.17 08:46	28.12.17 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:10 Amuse The Young & Amaze The Old.aif
Espiritu Du Carnival	        King Prawn	King Prawn	Surrender To The Blender						                                            Indie Rock	23063652	130	    1	        1	                11	        15	                2000	28.12.17 08:46	28.12.17 08:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Prawn:Surrender To The Blender:11 Espiritu Du Carnival.aif
