Name	                    Künstler	                        Komponist	Album	                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Do The Wurst	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	27812294	157			                            1	        15	                2010	26.12.17 08:46	26.12.17 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:01 Do The Wurst.aif
I Smell A Rat	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	26187063	148			                            2	        15	                2010	26.12.17 08:46	26.12.17 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:02 I Smell A Rat.aif
Mojo Workout	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	32048246	181			                            3	        15	                2010	26.12.17 08:46	26.12.17 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:03 Mojo Workout.aif
Shake It Wild	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	35079975	198			                            4	        15	                2010	26.12.17 08:46	26.12.17 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:04 Shake It Wild.aif
They Don't Know	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	21113801	119			                            5	        15	                2010	26.12.17 08:46	26.12.17 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:05 They Don't Know.aif
Pawnee Stomp	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	26020070	147			                            6	        15	                2010	26.12.17 08:46	26.12.17 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:06 Pawnee Stomp.aif
Yes Baby	                King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	23237650	131			                            7	        15	                2010	26.12.17 08:46	26.12.17 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:07 Yes Baby.aif
Chicken Back	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	24985190	141			                            8	        15	                2010	26.12.17 08:46	26.12.17 08:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:08 Chicken Back.aif
Watcha Gonna Do Tomorrow	King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	25693154	145			                            9	        15	                2010	26.12.17 08:46	26.12.17 08:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:09 Watcha Gonna Do Tomorrow.aif
Hang Off	                King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	16313365	92			                            10      	15              	2010	26.12.17 08:46	26.12.17 08:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:10 Hang Off.aif
Do The Climb	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	34473161	195			                            11      	15              	2010	26.12.17 08:46	26.12.17 08:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:11 Do The Climb.aif
Sweet Love To You	        King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	20403502	115			                            12      	15              	2010	26.12.17 08:46	26.12.17 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:12 Sweet Love To You.aif
Big Blon' Baby	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	17054251	96			                            13      	15              	2010	26.12.17 08:46	26.12.17 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:13 Big Blon' Baby.aif
Ma Juju Girl	            King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	31295609	177			                            14      	15              	2010	26.12.17 08:46	26.12.17 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:14 Ma Juju Girl.aif
Sock It To Me Santa	        King Salami And The Cumberland 3		        Fourteen Blazin' Bangers!!						                                            Rock	27243120	154			                            15      	15              	2010	26.12.17 08:46	26.12.17 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:King Salami:King Salami_2010_14 Blazin Bangers:15 Sock It To Me Santa.aif
