Name	                Künstler	                        Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Prissy Missy	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    22920433	127	    1	        1	                1	        14	                2012	26.12.17 08:59	26.12.17 08:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:01 Prissy Missy.aif
She's A Kukamunga	    King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    18437526	102	    1	        1	                2	        14	                2012	26.12.17 08:59	26.12.17 08:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:02 She's A Kukamunga.aif
Howlin' For My Woman	King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    36496185	204	    1	        1	                3	        14	                2012	26.12.17 08:59	26.12.17 08:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:03 Howlin' For My Woman.aif
Just My Kind	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    36230401	203	    1	        1	                4	        14	                2012	26.12.17 08:59	26.12.17 08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:04 Just My Kind.aif
Yosemite Sam	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    27600913	154	    1	        1	                5	        14	                2012	26.12.17 08:59	26.12.17 08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:05 Yosemite Sam.aif
Less Bone More Meat	    King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    25239512	141	    1	        1	                6	        14	                2012	26.12.17 08:59	26.12.17 08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:06 Less Bone More Meat.aif
The Dilly Bop	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    24021170	134	    1	        1	                7	        14	                2012	26.12.17 08:59	26.12.17 08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:07 The Dilly Bop.aif
Watch Your Mouth	    King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    23397893	130	    1	        1	                8	        14	                2012	26.12.17 08:59	26.12.17 08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:08 Watch Your Mouth.aif
Betti Moretti	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    28000754	156	    1	        1	                9	        14	                2012	26.12.17 08:59	26.12.17 08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:09 Betti Moretti.aif
The Monkey Beat	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    25982741	145	    1	        1	                10	        14	                2012	26.12.17 08:59	26.12.17 08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:10 The Monkey Beat.aif
I Got A Baby	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    23633090	131	    1	        1	                11	        14	                2012	26.12.17 08:59	26.12.17 08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:11 I Got A Baby.aif
Big Chief	            King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    29197919	163	    1	        1	                12	        14	                2012	26.12.17 08:59	26.12.17 08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:12 Big Chief.aif
Trubble Trubble	        King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    28351205	158	    1	        1	                13	        14	                2011	26.12.17 08:59	26.12.17 08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:13 Trubble Trubble.aif
It's All Your Fault	    King Salami And The Cumberland 3		        Cookin' Up A Party						                                            R&B	    29341401	164	    1	        1	                14	        14	                2012	26.12.17 08:59	26.12.17 08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:King Salami And The Cumberland 3:Cookin' Up A Party:14 It's All Your Fault.aif
