Name	            Künstler	            Komponist	        Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Twist	            Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	8753564	    49	    1	        1	                1	        14	                1996	03.01.18 08:39	03.01.18 08:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:01 Twist.aif
Chi	                Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	41500458	234	    1	        1	                2	        14	                1996	03.01.18 08:39	03.01.18 08:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:02 Chi.aif
Lost	            Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	30944683	175	    1	        1	                3	        14	                1996	03.01.18 08:39	03.01.18 08:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:03 Lost.aif
Swallow	            Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	38645134	218	    1	        1	                4	        14	                1996	03.01.18 08:39	03.01.18 08:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:04 Swallow.aif
Porno Creep	        Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	21423794	121	    1	        1	                5	        14	                1996	03.01.18 08:39	03.01.18 08:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:05 Porno Creep.aif
Good God	        Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	35512271	200	    1	        1	                6	        14	                1996	03.01.18 08:39	03.01.18 08:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:06 Good God.aif
Mr. Rogers	        Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	54857473	310	    1	        1	                7	        14	                1996	03.01.18 08:39	03.01.18 08:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:07 Mr. Rogers.aif
K@#0%!	            Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	32275917	182	    1	        1	                8	        14	                1996	03.01.18 08:39	03.01.18 08:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:08 K@#0%!.aif
No Place To Hide	Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	37433863	211	    1	        1	                9	        14	                1996	03.01.18 08:39	03.01.18 08:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:09 No Place To Hide.aif
A.D.I.D.A.S.	    Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	27026260	152	    1	        1	                11	        14	                1996	03.01.18 08:39	03.01.18 08:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:11 A.D.I.D.A.S..aif
Low Rider	        Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	10310593	58	    1	        1	                12	        14	                1996	03.01.18 08:39	03.01.18 08:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:12 Low Rider.aif
Ass Itch	        Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	38774496	219	    1	        1	                13	        14	                1996	03.01.18 08:39	03.01.18 08:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:13 Ass Itch.aif
Kill You	        Korn	                B. Head Welch/Korn	Life Is Peachy						                                            Metal	91306416	517	    1	        1	                14	        14	                1996	03.01.18 08:39	03.01.18 08:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:14 Kill You.aif
Wicked	            Korn Feat. Chino Moreno	B. Head Welch/Korn	Life Is Peachy						                                            Metal	42493025	240	    1	        1	                10	        14	                1996	03.01.18 08:39	03.01.18 08:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Life Is Peachy:10 Wicked.aif
