Name	                Künstler	            Komponist	            Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Silence	                Korn		                                    Follow The Leader						                                            Metal	1037487	    5	    1	        1	                1	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:01 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                2	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:02 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                3	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:03 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                4	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:04 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                5	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:05 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                6	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:06 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                7	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:07 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                8	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:08 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990447	    5	    1	        1	                9	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:09 Silence.aif
Silence	                Korn		                                    Follow The Leader						                                            Metal	990448	    5	    1	        1	                10	        25	                1998	03.01.18 08:57	03.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Follow The Leader:10 Silence.aif
